idx,input,expected_text,generated_text,cleaned_generated_text,cleaned_expected_text,sentence_levenshtein,Problem type
286,Sind Sie eine <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>teamorientierte Person</SoftSkill> und zeichnen sich durch <SoftSkill>Strukturiertheit</SoftSkill> und <SoftSkill>organisatorisches Geschick</SoftSkill> aus? ->,Sind Sie eine <SoftSkill>belastbare Person</SoftSkill> und <SoftSkill>teamorientierte Person</SoftSkill> und zeichnen sich durch <SoftSkill>Strukturiertheit</SoftSkill> und <SoftSkill>organisatorisches Geschick</SoftSkill> aus?,Sind Sie eine <SoftSkill>belastbare Person</SoftSkill> und <SoftSkill>teamorientierte Person</SoftSkill> und zeichnen sich durch <SoftSkill>Strukturiertheit</SoftSkill> und <SoftSkill>organisatorisches Geschick</SoftSkill> aus?,Sind Sie eine belastbare Person und teamorientierte Person und zeichnen sich durch Strukturiertheit und organisatorisches Geschick aus?,Sind Sie eine belastbare Person und teamorientierte Person und zeichnen sich durch Strukturiertheit und organisatorisches Geschick aus?,0,OWA
287," Abgeschlossene Weiterbildung NDS Intensivpflege
<SoftSkill_C>Selbständiges</SoftSkill_C> und <SoftSkill>verantwortungsvolles Arbeiten</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Technisches Verständnis</SoftSkill> ->","  Abgeschlossene Weiterbildung NDS Intensivpflege
<SoftSkill>Selbständiges Arbeiten</SoftSkill> und <SoftSkill>verantwortungsvolles Arbeiten</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Technisches Verständnis</SoftSkill>","  Abgeschlossene Weiterbildung NDS Intensivpflege
<SoftSkill>Selbständiges Arbeiten</SoftSkill> und <SoftSkill>verantwortungsvolles Arbeiten</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Technisches Verständnis</SoftSkill>",  Abgeschlossene Weiterbildung NDS Intensivpflege Selbständiges Arbeiten und verantwortungsvolles Arbeiten Teamfähigkeit und Flexibilität Technisches Verständnis,  Abgeschlossene Weiterbildung NDS Intensivpflege Selbständiges Arbeiten und verantwortungsvolles Arbeiten Teamfähigkeit und Flexibilität Technisches Verständnis,0,OWA
288," Ihre <SoftSkill>ausgeprägte Eigenmotivation</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill> sowie eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>lösungs-</SoftSkill_C> und <SoftSkill>kundenorientierte Arbeitsweise</SoftSkill> runden Ihr Profil ab. ->","  Ihre <SoftSkill>ausgeprägte Eigenmotivation</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill> sowie eine <SoftSkill>selbständige Arbeitsweise</SoftSkill>, <SoftSkill>lösungsorientierte Arbeitsweise</SoftSkill> und <SoftSkill>kundenorientierte Arbeitsweise</SoftSkill> runden Ihr Profil ab.","  Ihre <SoftSkill>ausgeprägte Eigenmotivation</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill> sowie eine <SoftSkill>selbständige Arbeitsweise</SoftSkill>, <SoftSkill>lösungsorientierte Arbeitsweise</SoftSkill> und <SoftSkill>kundenorientierte Arbeitsweise</SoftSkill> runden Ihr Profil ab.","  Ihre ausgeprägte Eigenmotivation, Eigeninitiative sowie eine selbständige Arbeitsweise, lösungsorientierte Arbeitsweise und kundenorientierte Arbeitsweise runden Ihr Profil ab.","  Ihre ausgeprägte Eigenmotivation, Eigeninitiative sowie eine selbständige Arbeitsweise, lösungsorientierte Arbeitsweise und kundenorientierte Arbeitsweise runden Ihr Profil ab.",0,HMC
289," Erfahrung und <SoftSkill>Freude im Umgang mit Handverpackungsarbeiten</SoftSkill>
<SoftSkill>Freundlichkeit</SoftSkill>, <SoftSkill>Pünktlichkeit</SoftSkill> und <SoftSkill>Selbstständigkeit</SoftSkill>
Zu Ihren Stärken gehören <SoftSkill_C>sauberes</SoftSkill_C> und <SoftSkill>zuverlässiges Arbeiten</SoftSkill>. ->"," Erfahrung und <SoftSkill>Freude im Umgang mit Handverpackungsarbeiten</SoftSkill>
<SoftSkill>Freundlichkeit</SoftSkill>, <SoftSkill>Pünktlichkeit</SoftSkill> und <SoftSkill>Selbstständigkeit</SoftSkill>
Zu Ihren Stärken gehören <SoftSkill>sauberes Arbeiten</SoftSkill> und <SoftSkill>zuverlässiges Arbeiten</SoftSkill>.



"," Erfahrung und <SoftSkill>Freude im Umgang mit Handverpackungsarbeiten</SoftSkill>
<SoftSkill>Freundlichkeit</SoftSkill>, <SoftSkill>Pünktlichkeit</SoftSkill> und <SoftSkill>Selbstständigkeit</SoftSkill>
Zu Ihren Stärken gehören <SoftSkill>sauberes Arbeiten</SoftSkill> und <SoftSkill>zuverlässiges Arbeiten</SoftSkill>.



"," Erfahrung und Freude im Umgang mit Handverpackungsarbeiten Freundlichkeit, Pünktlichkeit und Selbstständigkeit Zu Ihren Stärken gehören sauberes Arbeiten und zuverlässiges Arbeiten.    "," Erfahrung und Freude im Umgang mit Handverpackungsarbeiten Freundlichkeit, Pünktlichkeit und Selbstständigkeit Zu Ihren Stärken gehören sauberes Arbeiten und zuverlässiges Arbeiten.    ",0,OWA
290," •  Sie <SoftSkill>arbeiten kundenorientiert</SoftSkill>, <SoftSkill_C>organisiert</SoftSkill_C> und <SoftSkill>treten gepfl egt und selbstsicher auf</SoftSkill>. ->"," • Sie <SoftSkill>arbeiten kundenorientiert</SoftSkill>, <SoftSkill>arbeiten organisiert</SoftSkill> und <SoftSkill>treten gepfl egt und selbstsicher auf</SoftSkill>."," • Sie <SoftSkill>arbeiten kundenorientiert</SoftSkill>, <SoftSkill>arbeiten organisiert</SoftSkill> und <SoftSkill>treten gepfl egt und selbstsicher auf</SoftSkill>."," • Sie arbeiten kundenorientiert, arbeiten organisiert und treten gepfl egt und selbstsicher auf."," • Sie arbeiten kundenorientiert, arbeiten organisiert und treten gepfl egt und selbstsicher auf.",0,OWA
291," Wir stellen uns eine <SoftSkill_C>initiative</SoftSkill_C>, <SoftSkill_C>kommunikative</SoftSkill_C> und <SoftSkill>konfliktfähige Persönlichkeit</SoftSkill> vor, welche <SoftSkill>auch in hektischen Zeiten den Überblick bewahrt</SoftSkill>. ->"," Wir stellen uns eine <SoftSkill>initiative Persönlichkeit</SoftSkill>, <SoftSkill>kommunikative Persönlichkeit</SoftSkill> und <SoftSkill>konfliktfähige Persönlichkeit</SoftSkill> vor, welche <SoftSkill>auch in hektischen Zeiten den Überblick bewahrt</SoftSkill>."," Wir stellen uns eine <SoftSkill>initiative Persönlichkeit</SoftSkill>, <SoftSkill>kommunikative Persönlichkeit</SoftSkill> und <SoftSkill>konfliktfähige Persönlichkeit</SoftSkill> vor, welche <SoftSkill>auch in hektischen Zeiten den Überblick bewahrt</SoftSkill>."," Wir stellen uns eine initiative Persönlichkeit, kommunikative Persönlichkeit und konfliktfähige Persönlichkeit vor, welche auch in hektischen Zeiten den Überblick bewahrt."," Wir stellen uns eine initiative Persönlichkeit, kommunikative Persönlichkeit und konfliktfähige Persönlichkeit vor, welche auch in hektischen Zeiten den Überblick bewahrt.",0,MC
292,Sie <SoftSkill_C>denken</SoftSkill_C> und <SoftSkill>handeln vernetzt</SoftSkill> und <SoftSkill>arbeiten strukturiert</SoftSkill>. ->,Sie <SoftSkill>denken vernetzt</SoftSkill> und <SoftSkill>handeln vernetzt</SoftSkill> und <SoftSkill>arbeiten strukturiert</SoftSkill>.,Sie <SoftSkill>denken vernetzt</SoftSkill> und <SoftSkill>handeln vernetzt</SoftSkill> und <SoftSkill>arbeiten strukturiert</SoftSkill>.,Sie denken vernetzt und handeln vernetzt und arbeiten strukturiert.,Sie denken vernetzt und handeln vernetzt und arbeiten strukturiert.,0,OWA
293," eine abgeschlossene dreijährige Berufslehre (z.B. Fachfrau/Fachmann Gesundheit EFZ oder aus einem anderen Fachbereich oder Fachmittelschule)
<SoftSkill_C>physische</SoftSkill_C> und <SoftSkill>psychische Belastbarkeit</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Verantwortungsbewusstsein</SoftSkill> ->"," eine abgeschlossene dreijährige Berufslehre (z.B. Fachfrau/Fachmann Gesundheit EFZ oder aus einem anderen Fachbereich oder Fachmittelschule)
<SoftSkill>physische Belastbarkeit</SoftSkill> und <SoftSkill>psychische Belastbarkeit</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Verantwortungsbewusstsein</SoftSkill>"," eine abgeschlossene dreijährige Berufslehre (z.B. Fachfrau/Fachmann Gesundheit EFZ oder aus einem anderen Fachbereich oder Fachmittelschule)
<SoftSkill>physische Belastbarkeit</SoftSkill> und <SoftSkill>psychische Belastbarkeit</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Verantwortungsbewusstsein</SoftSkill>"," eine abgeschlossene dreijährige Berufslehre (z.B. Fachfrau/Fachmann Gesundheit EFZ oder aus einem anderen Fachbereich oder Fachmittelschule) physische Belastbarkeit und psychische Belastbarkeit, Teamfähigkeit, Verantwortungsbewusstsein"," eine abgeschlossene dreijährige Berufslehre (z.B. Fachfrau/Fachmann Gesundheit EFZ oder aus einem anderen Fachbereich oder Fachmittelschule) physische Belastbarkeit und psychische Belastbarkeit, Teamfähigkeit, Verantwortungsbewusstsein",0,OWA
294," Abgeschlossenes Nachdiplomstudium Intensivpflege
<SoftSkill>Professionelles Pflegeverständnis</SoftSkill>
<SoftSkill_C>Fach</SoftSkill_C> / <SoftSkill_C>Sozial-</SoftSkill_C> und <SoftSkill>Selbstkompetenz</SoftSkill>
<SoftSkill>Kommunikationsfähigkeit-</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>
<SoftSkill>Motivation</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill_C>Qualitäts-</SoftSkill_C> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill> ->"," Abgeschlossenes Nachdiplomstudium Intensivpflege
<SoftSkill>Professionelles Pflegeverständnis</SoftSkill>
<SoftSkill>Fachkompetenz</SoftSkill> / <SoftSkill>Sozialkompetenz</SoftSkill> und <SoftSkill>Selbstkompetenz</SoftSkill>
<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>
<SoftSkill>Motivation</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Qualitätsbewusstsein</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>"," Abgeschlossenes Nachdiplomstudium Intensivpflege
<SoftSkill>Professionelles Pflegeverständnis</SoftSkill>
<SoftSkill>Fachkompetenz</SoftSkill> / <SoftSkill>Sozialkompetenz</SoftSkill> und <SoftSkill>Selbstkompetenz</SoftSkill>
<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>
<SoftSkill>Motivation</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Qualitätsbewusstsein</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>"," Abgeschlossenes Nachdiplomstudium Intensivpflege Professionelles Pflegeverständnis Fachkompetenz / Sozialkompetenz und Selbstkompetenz Kommunikationsfähigkeit und Organisationsfähigkeit Motivation, Belastbarkeit, Flexibilität Qualitätsbewusstsein und Verantwortungsbewusstsein"," Abgeschlossenes Nachdiplomstudium Intensivpflege Professionelles Pflegeverständnis Fachkompetenz / Sozialkompetenz und Selbstkompetenz Kommunikationsfähigkeit und Organisationsfähigkeit Motivation, Belastbarkeit, Flexibilität Qualitätsbewusstsein und Verantwortungsbewusstsein",0,HMDC
295,Sie besitzen <SoftSkill_C>ausgeprägte konzeptionelle</SoftSkill_C> und <SoftSkill>organisatorische Fähigkeiten</SoftSkill> und sind erfahren im Projektmanagement. ->,Sie besitzen <SoftSkill>ausgeprägte konzeptionelle Fähigkeiten</SoftSkill> und <SoftSkill>organisatorische Fähigkeiten</SoftSkill> und sind erfahren im Projektmanagement.,Sie besitzen <SoftSkill>ausgeprägte konzeptionelle Fähigkeiten</SoftSkill> und <SoftSkill>organisatorische Fähigkeiten</SoftSkill> und sind erfahren im Projektmanagement.,Sie besitzen ausgeprägte konzeptionelle Fähigkeiten und organisatorische Fähigkeiten und sind erfahren im Projektmanagement.,Sie besitzen ausgeprägte konzeptionelle Fähigkeiten und organisatorische Fähigkeiten und sind erfahren im Projektmanagement.,0,OWA
