,Unnamed: 0,input,output
8845,20207,"Für unseren Sitz in Zürich suchen wir eine <SoftSkill_C>zielorientierte</SoftSkill_C> und <SoftSkill>selbständige Persönlichkeit</SoftSkill> als
Debitoren-Sachbearbeiter (w/m)

","Für unseren Sitz in Zürich suchen wir eine <SoftSkill_C>zielorientierte</SoftSkill_C> und <SoftSkill>selbständige Persönlichkeit</SoftSkill> als
Debitoren-Sachbearbeiter (w/m)

"
6706,15118,"Ausbildung als Velomechaniker oder ähnliches Umfeld
	Erfahrungen im Verkauf von Vorteil
	Sehr gute Deutschkenntnisse
	<SoftSkill>Freude am Verkaufen</SoftSkill> und <SoftSkill_C>Umgang mit Menschen
	Kontaktfreudigkeit und</SoftSkill_C> <SoftSkill>gute Umgangsformen</SoftSkill>

","Ausbildung als Velomechaniker oder ähnliches Umfeld
	Erfahrungen im Verkauf von Vorteil
	Sehr gute Deutschkenntnisse
	<SoftSkill>Freude am Verkaufen</SoftSkill> und <SoftSkill_C>Umgang mit Menschen
	Kontaktfreudigkeit und</SoftSkill_C> <SoftSkill>gute Umgangsformen</SoftSkill>

"
3753,8521,"Die Familien- und Jugendberatung sucht per 1. August 2015 eine <SoftSkill_C>teamfähige</SoftSkill_C>, <SoftSkill_C>berufserfahrene</SoftSkill_C> und <SoftSkill>belastbare Persönlichkeit</SoftSkill> als

","Die Familien- und Jugendberatung sucht per 1. August 2015 eine <SoftSkill_C>teamfähige</SoftSkill_C>, <SoftSkill_C>berufserfahrene</SoftSkill_C> und <SoftSkill>belastbare Persönlichkeit</SoftSkill> als

"
14492,34154,"Sie sind eine <SoftSkill_C>engagierte</SoftSkill_C>, <SoftSkill>motivierte Persönlichkeit</SoftSkill> und haben <SoftSkill>Freude an der anspruchsvollen Pflege und Begleitung von Patienten und ihren Familien</SoftSkill>.","Sie sind eine <SoftSkill_C>engagierte</SoftSkill_C>, <SoftSkill>motivierte Persönlichkeit</SoftSkill> und haben <SoftSkill>Freude an der anspruchsvollen Pflege und Begleitung von Patienten und ihren Familien</SoftSkill>."
24101,60117,"Eine <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>dienstleistungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>Empathie</SoftSkill>, <SoftSkill>Geduld</SoftSkill> und <SoftSkill>Verständnis im Umgang mit betagten und pflegebedürfti-gen Menschen</SoftSkill> sind für Sie selbstverständlich.","Eine <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>dienstleistungsorientierte Arbeitsweise</SoftSkill> sowie <SoftSkill>Empathie</SoftSkill>, <SoftSkill>Geduld</SoftSkill> und <SoftSkill>Verständnis im Umgang mit betagten und pflegebedürfti-gen Menschen</SoftSkill> sind für Sie selbstverständlich."
7094,16095,"Nicht irgendwer: Sie sind eine <SoftSkill_C>kommunikationsstarke</SoftSkill_C> und <SoftSkill>pragmatisch denkende Persönlichkeit</SoftSkill>, die es <SoftSkill>gewohnt ist</SoftSkill>, <SoftSkill_C>flexibel</SoftSkill_C>, <SoftSkill_C>selbstständig</SoftSkill_C> und <SoftSkill>proaktiv zu arbeiten</SoftSkill>.","Nicht irgendwer: Sie sind eine <SoftSkill_C>kommunikationsstarke</SoftSkill_C> und <SoftSkill>pragmatisch denkende Persönlichkeit</SoftSkill>, die es <SoftSkill>gewohnt ist</SoftSkill>, <SoftSkill_C>flexibel</SoftSkill_C>, <SoftSkill_C>selbstständig</SoftSkill_C> und <SoftSkill>proaktiv zu arbeiten</SoftSkill>."
24335,60859,"Anforderungen
<SoftSkill>Hohes technisches Verständnis</SoftSkill>, <SoftSkill>gute Auffassungsgabe</SoftSkill>, <SoftSkill>logisches Denke</SoftSkill>, <SoftSkill>handwerkliches Geschick</SoftSkill>, <SoftSkill_C>exakte</SoftSkill_C> und <SoftSkill>sorgfältige Arbeitsweise</SoftSkill>, <SoftSkill>Zuverlässigkeit</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill>, <SoftSkill>gute Umgangsformen</SoftSkill> (Kundenkontakt)

","Anforderungen
<SoftSkill>Hohes technisches Verständnis</SoftSkill>, <SoftSkill>gute Auffassungsgabe</SoftSkill>, <SoftSkill>logisches Denke</SoftSkill>, <SoftSkill>handwerkliches Geschick</SoftSkill>, <SoftSkill_C>exakte</SoftSkill_C> und <SoftSkill>sorgfältige Arbeitsweise</SoftSkill>, <SoftSkill>Zuverlässigkeit</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill>, <SoftSkill>gute Umgangsformen</SoftSkill> (Kundenkontakt)

"
23095,57355,Mit Ihrer <SoftSkill_C>ausgeglichenen</SoftSkill_C> und <SoftSkill>fröhlichen Art</SoftSkill> tragen Sie zu einem guten Arbeitsklima bei.,Mit Ihrer <SoftSkill_C>ausgeglichenen</SoftSkill_C> und <SoftSkill>fröhlichen Art</SoftSkill> tragen Sie zu einem guten Arbeitsklima bei.
19970,48825,Sie sind <SoftSkill>flexibel</SoftSkill> und <SoftSkill>arbeiten ebenso gerne selbstständig</SoftSkill> wie im <SoftSkill_C>Team</SoftSkill_C>.,Sie sind <SoftSkill>flexibel</SoftSkill> und <SoftSkill>arbeiten ebenso gerne selbstständig</SoftSkill> wie im <SoftSkill_C>Team</SoftSkill_C>.
5523,12479,"Wenn Sie eine <SoftSkill_C>dynamische</SoftSkill_C> und <SoftSkill>qualifizierte Person</SoftSkill> sind, welche den Fortschritt und den raschen Erfolg bevorzugt, können auch Sie in einer Stunde 50'000 Bauteile bestücken.","Wenn Sie eine <SoftSkill_C>dynamische</SoftSkill_C> und <SoftSkill>qualifizierte Person</SoftSkill> sind, welche den Fortschritt und den raschen Erfolg bevorzugt, können auch Sie in einer Stunde 50'000 Bauteile bestücken."
