,idx,input,generated_text,expected_text,wrong GPT3,Problem type,USAGE FLAG
0,186," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill_C>hervorragendes analytisches</SoftSkill_C> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill_C>sorgfältig</SoftSkill_C>. ->"," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill>hervorragendes analytisches Denken</SoftSkill> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill>arbeiten sorgfältig</SoftSkill>."," Sie <SoftSkill>können gut planen</SoftSkill>, zeichnen sich durch <SoftSkill>hervorragendes analytisches Denken</SoftSkill> und <SoftSkill>synthetisches Denken</SoftSkill> aus und <SoftSkill>arbeiten selbstständig</SoftSkill> und <SoftSkill>arbeiten sorgfältig</SoftSkill>.",1,MDC,1.0
1,187," Dank Ihrer <SoftSkill_C>lösungsorientierten</SoftSkill_C> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>. ->"," Dank Ihrer <SoftSkill>lösungsorientierten Arbeitsweise</SoftSkill> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>."," Dank Ihrer <SoftSkill>lösungsorientierten Arbeitsweise</SoftSkill> und <SoftSkill>proaktiven Arbeitsweise</SoftSkill> sind Sie <SoftSkill>in der Lage, gezielt Schwerpunkte zu setzen</SoftSkill> und Ihre <SoftSkill>Strategie hinsichtlich einer konkreten Vision zu implementieren</SoftSkill>.",1,OWA,1.0
2,188,•  <SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>strategisches Denkvermögen</SoftSkill> ->,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>strategisches Denkvermögen</SoftSkill>,<SoftSkill>Analytisches Denkvermögen</SoftSkill> und <SoftSkill>strategisches Denkvermögen</SoftSkill>,1,OWA,1.0
3,189,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill_C>gepflegten</SoftSkill_C> und <SoftSkill>freundlichen Erscheinung</SoftSkill>. ->,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill>gepflegten Erscheinung</SoftSkill> und <SoftSkill>freundlichen Erscheinung</SoftSkill>.,Für diese abwechslungsreiche und selbständige Arbeit suchen wir eine Persönlichkeit mit <SoftSkill>guten Umgangsformen</SoftSkill> sowie einer <SoftSkill>gepflegten Erscheinung</SoftSkill> und <SoftSkill>freundlichen Erscheinung</SoftSkill>.,1,OWA,1.0
4,190," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill_C>Exaktes</SoftSkill_C>, <SoftSkill_C>mitdenkendes</SoftSkill_C> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat. ->"," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill>Exaktes Arbeiten</SoftSkill>, <SoftSkill>mitdenkendes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat."," Ausbildung zum/zur Kaufmann/-frau EFZ oder vergleichbare Ausbildung
<SoftSkill>Freude am Kontakt mit Menschen</SoftSkill>
<SoftSkill>Exaktes Arbeiten</SoftSkill>, <SoftSkill>mitdenkendes Arbeiten</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>
<SoftSkill>Stilsicheres Deutsch</SoftSkill>
Gute MS-Office-Kenntnisse
Führerausweis für Personenwagen Kat.",1,MC,1.0
5,191," Sie sind eine <SoftSkill_C>kunden-</SoftSkill_C> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>. ->"," Sie sind eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>."," Sie sind eine <SoftSkill>kundenorientierte Persönlichkeit</SoftSkill> und <SoftSkill>verkaufsorientierte Persönlichkeit</SoftSkill> und verstehen es, unsere <SoftSkill>Kundschaft kompetent zu beraten</SoftSkill>.",1,HOWA,1.0
6,192," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill_C>team-</SoftSkill_C> und <SoftSkill>kundenorientiert</SoftSkill>. ->"," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill>teamorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill>."," Sie können <SoftSkill>vernetzt denken</SoftSkill>, <SoftSkill>selbständig handeln</SoftSkill> und sind <SoftSkill>teamorientiert</SoftSkill> und <SoftSkill>kundenorientiert</SoftSkill>.",1,HOWA,1.0
7,193," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill_C>aufgestellten</SoftSkill_C>, <SoftSkill_C>freundlichen</SoftSkill_C> und <SoftSkill>kollegialen Art</SoftSkill>. ->"," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill>aufgestellten Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kollegialen Art</SoftSkill>."," Sie verstärken unser topmotiviertes Team mit Ihrer <SoftSkill>aufgestellten Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kollegialen Art</SoftSkill>.",1,MC,1.0
8,194," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill_C>guter Kenntnis</SoftSkill_C> und <SoftSkill>hoher Flexibilität</SoftSkill>. ->"," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill>guter Kenntnis</SoftSkill> und <SoftSkill>hoher Flexibilität</SoftSkill>."," Bei uns beeindrucken Sie als <SoftSkill>selbstbewusste/r Dienstleister/in</SoftSkill> durch <SoftSkill>Leidenschaft an der Arbeit</SoftSkill>, <SoftSkill>Aufmerksamkeit</SoftSkill>, <SoftSkill>guter Kenntnis</SoftSkill> und <SoftSkill>hoher Flexibilität</SoftSkill>.",1,NONE,1.0
9,195,Persönlich zeichnen Sie sich durch eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>. ->,Persönlich zeichnen Sie sich durch eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>.,Persönlich zeichnen Sie sich durch eine <SoftSkill>selbständige Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill> aus und haben <SoftSkill>Spass an messtechnischen Aufgaben</SoftSkill>.,1,OWA,1.0
10,196,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill_C>interdisziplinärer Zusammenarbeit</SoftSkill_C> Suchen Sie eine neue Herausforderung? ->,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill>Freude an interdisziplinärer Zusammenarbeit</SoftSkill> Suchen Sie eine neue Herausforderung?,<SoftSkill>Freude an abwechslungsreichen Tätigkeiten</SoftSkill> und <SoftSkill>Freude an interdisziplinärer Zusammenarbeit</SoftSkill> Suchen Sie eine neue Herausforderung?,1,MWA,1.0
