prompt,predicted_text
" Sie <SoftSkill>geben gerne Ihr Fachwissen weiter</SoftSkill> und verfügen über <SoftSkill_C>ausgeprägte Dienstleistungs-</SoftSkill_C>, <SoftSkill_C>Organisations-</SoftSkill_C> und <SoftSkill>Kommunikationsstärken</SoftSkill>. ->"," Sie <SoftSkill>geben gerne Ihr Fachwissen weiter</SoftSkill> und verfügen über <SoftSkill>ausgeprägte Dienstleistungsstärken</SoftSkill>, <SoftSkill>Organisationsstärken</SoftSkill> und <SoftSkill>Kommunikationsstärken</SoftSkill>."
" Sie sind <SoftSkill_C>kommunikations-</SoftSkill_C> und <SoftSkill>kontaktfähig</SoftSkill>, haben das <SoftSkill_C>Flair</SoftSkill_C> und <SoftSkill>Interesse für juristische Fragestellungen</SoftSkill> und zeigen entsprechende <SoftSkill>Flexibilität</SoftSkill> was die tägliche Arbeitzeit betrifft. ->"," Sie sind <SoftSkill>kommunikationsfähig</SoftSkill> und <SoftSkill>kontaktfähig</SoftSkill>, haben das <SoftSkill>Flair für juristische Fragestellungen</SoftSkill> und <SoftSkill>Interesse für juristische Fragestellungen</SoftSkill> und zeigen entsprechende <SoftSkill>Flexibilität was die tägliche Arbeitzeit betrifft</SoftSkill>."
 Mit Ihren <SoftSkill_C>analytischen</SoftSkill_C> und <SoftSkill>konzeptionellen Fähigkeiten</SoftSkill> <SoftSkill>erkennen Sie Herausforderungen</SoftSkill> und sind <SoftSkill>rasch in der Lösungsfindung</SoftSkill>. ->, Mit Ihren <SoftSkill>analytischen Fähigkeiten</SoftSkill> und <SoftSkill>konzeptionellen Fähigkeiten</SoftSkill> <SoftSkill>erkennen Sie Herausforderungen</SoftSkill> und sind <SoftSkill>rasch in der Lösungsfindung</SoftSkill>.
 Durch Ihr <SoftSkill_C>hohes Qualitäts-</SoftSkill_C> und <SoftSkill>Hygienebewusstsein</SoftSkill> können Sie die gestellten Aufgaben bestens ausführen. ->, Durch Ihr <SoftSkill>hohes Qualitätsbewusstsein</SoftSkill> und <SoftSkill>Hygienebewusstsein</SoftSkill> können Sie die gestellten Aufgaben bestens ausführen.
 Du verfügst über <SoftSkill_C>konzeptionelle</SoftSkill_C> und <SoftSkill>planerische Fähigkeiten</SoftSkill>. ->, Du verfügst über <SoftSkill>konzeptionelle Fähigkeiten</SoftSkill> und <SoftSkill>planerische Fähigkeiten</SoftSkill>.
" Sie sind es gewohnt, <SoftSkill_C>prozess-</SoftSkill_C> und <SoftSkill>lösungsorientiert zu arbeiten</SoftSkill>, <SoftSkill>Prioritäten richtig zu setzen</SoftSkill> und <SoftSkill>bei hohem Arbeitsaufkommen den Überblick zu bewahren</SoftSkill>. ->"," Sie sind es gewohnt, <SoftSkill>prozessorientiert zu arbeiten</SoftSkill> und <SoftSkill>lösungsorientiert zu arbeiten</SoftSkill>, <SoftSkill>Prioritäten richtig zu setzen</SoftSkill> und <SoftSkill>bei hohem Arbeitsaufkommen den Überblick zu bewahren</SoftSkill>."
" <SoftSkill_C>Sicheres</SoftSkill_C> und <SoftSkill>selbstbewusstes Auftreten</SoftSkill> sowie gute Kenntnisse moderner technischer Arbeitshilfsmittel (MS-Office, CAD) runden Ihr Profil ab. ->"," <SoftSkill>Sicheres Auftreten</SoftSkill> und <SoftSkill>selbstbewusstes Auftreten</SoftSkill> sowie gute Kenntnisse moderner technischer Arbeitshilfsmittel (MS-Office, CAD) runden Ihr Profil ab."
 Die <SoftSkill>grosse Eigenverantwortung</SoftSkill> bedingt eine <SoftSkill_C>selbständige</SoftSkill_C> und <SoftSkill>belastbare Persönlichkeit</SoftSkill> mit <SoftSkill>angenehmen Kommunikationsverhalten</SoftSkill> und <SoftSkill>ausgeprägter Kundenorientierung</SoftSkill>. ->, Die <SoftSkill>grosse Eigenverantwortung</SoftSkill> bedingt eine <SoftSkill>selbständige Persönlichkeit</SoftSkill> und <SoftSkill>belastbare Persönlichkeit</SoftSkill> mit <SoftSkill>angenehmen Kommunikationsverhalten</SoftSkill> und <SoftSkill>ausgeprägter Kundenorientierung</SoftSkill>.
 I oder II) zeichnet Sie eine <SoftSkill>ausgeprägte Fähigkeit zu institutionellem Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C> aus. ->, I oder II) zeichnet Sie eine <SoftSkill>ausgeprägte Fähigkeit zu institutionellem Denken</SoftSkill> und <SoftSkill>ausgeprägte Fähigkeit zu institutionellem Handeln</SoftSkill> aus.
" Zudem <SoftSkill>arbeiten Sie strukturiert</SoftSkill>, <SoftSkill_C>zielorientiert</SoftSkill_C> und <SoftSkill>schätzen die Arbeit in einem Team</SoftSkill>. ->"," Zudem <SoftSkill>arbeiten Sie strukturiert</SoftSkill>, <SoftSkill>arbeiten Sie zielorientiert</SoftSkill> und <SoftSkill>schätzen die Arbeit in einem Team</SoftSkill>."
