,input,output,ind_skill,input_EN,output_EN
0,•  <SoftSkill_C>Hohes Kommunikations-</SoftSkill_C> und <SoftSkill>Verhandlungsgeschick</SoftSkill,<SoftSkill>Hohes Kommunikationsgeschick</SoftSkill> und <SoftSkill>Verhandlungsgeschick</SoftSkill>,"['Hohes Kommunikationsgeschick', 'Verhandlungsgeschick']",- <SoftSkill_C>High communication</SoftSkill_C> and <SoftSkill>negotiation</SoftSkill,<SoftSkill>High communication skills</SoftSkill> and <SoftSkill>Negotiation skills</SoftSkill>.
1," Bist du eine <SoftSkill_C>vielseitige</SoftSkill_C>, <SoftSkill_C>motivierte</SoftSkill_C> und <SoftSkill>lernorientierte Person</SoftSkill>, die <SoftSkill>Freude an der aktiven Gestaltung und Entwicklung anspruchsvoller Lösungen v.a. im Bereich der Digitalisierung hat</SoftSkill>?"," Bist du eine <SoftSkill>vielseitige Person</SoftSkill>, <SoftSkill>motivierte Person</SoftSkill> und <SoftSkill>lernorientierte Person</SoftSkill>, die <SoftSkill>Freude an der aktiven Gestaltung und Entwicklung anspruchsvoller Lösungen v.a. im Bereich der Digitalisierung hat</SoftSkill>?","['vielseitige Person', 'motivierte Person', 'lernorientierte Person', 'Freude an der aktiven Gestaltung und Entwicklung anspruchsvoller Lösungen v.a. im Bereich der Digitalisierung hat']"," Are you a <SoftSkill_C>versatile</SoftSkill_C>, <SoftSkill_C>motivated</SoftSkill_C> and <SoftSkill>learning-oriented person</SoftSkill> who <SoftSkill>enjoys actively designing and developing sophisticated solutions, especially in the field of digitalisation</SoftSkill>?"," Are you a <SoftSkill>versatile person</SoftSkill>, <SoftSkill>motivated person</SoftSkill> and <SoftSkill>learning-oriented person</SoftSkill> who <SoftSkill>enjoys actively designing and developing sophisticated solutions, especially in the field of digitalisation</SoftSkill>?"
2," •  <SoftSkill>Überzeugender Auftritt</SoftSkill>; <SoftSkill_C>dynamische</SoftSkill_C> und <SoftSkill>belastbare Persönlichkeit</SoftSkill>, die ihre Zielsetzung auf überdurchschnittliche Leistungsresultate ausrichtet."," • <SoftSkill>Überzeugender Auftritt</SoftSkill>; <SoftSkill>dynamische Persönlichkeit</SoftSkill> und <SoftSkill>belastbare Persönlichkeit</SoftSkill>, die ihre Zielsetzung auf überdurchschnittliche Leistungsresultate ausrichtet.","['Überzeugender Auftritt', 'dynamische Persönlichkeit', 'belastbare Persönlichkeit']"," - <SoftSkill>Convincing appearance</SoftSkill>; <SoftSkill_C>dynamic</SoftSkill_C> and <SoftSkill>resilient personality</SoftSkill>, who aligns his or her objective to above-average performance results."," - <SoftSkill>Convincing appearance</SoftSkill>; <SoftSkill>Dynamic personality</SoftSkill> and <SoftSkill>Resilient personality</SoftSkill>, which aligns its objective to above-average performance results."
3, •  <SoftSkill>Freude am Unterrichten</SoftSkill> und an der <SoftSkill_C>Persönlichkeitsbildung der Jugendlichen</SoftSkill_C, <SoftSkill>Freude am Unterrichten</SoftSkill> und <SoftSkill>Freude am Persönlichkeitsbildung der Jugendlichen</SoftSkill>.,"['Freude am Unterrichten', 'Freude am Persönlichkeitsbildung der Jugendlichen']", - <SoftSkill>Enjoyment in teaching</SoftSkill> and in the <SoftSkill_C>personal development of young people</SoftSkill_C, <SoftSkill>Enjoyment of teaching</SoftSkill> and <SoftSkill>Enjoyment of personality development of young people</SoftSkill>.
4," •  <SoftSkill>Interesse an technischen Arbeiten</SoftSkill> und <SoftSkill_C>Verfahren</SoftSkill_C> sowie <SoftSkill>Fähigkeit, Probleme zu bearbeiten und zu lösen</SoftSkill"," • <SoftSkill>Interesse an technischen Arbeiten</SoftSkill> und <SoftSkill>Interesse an Verfahren</SoftSkill> sowie <SoftSkill>Fähigkeit, Probleme zu bearbeiten und zu lösen</SoftSkill>","['Interesse an technischen Arbeiten', 'Interesse an Verfahren', 'Fähigkeit, Probleme zu bearbeiten und zu lösen']", - <SoftSkill>Interest in technical work</SoftSkill> and <SoftSkill_C>Procedures</SoftSkill_C> and <SoftSkill>Ability to work on and solve problems</SoftSkill, - <SoftSkill>Interest in technical work</SoftSkill> and <SoftSkill>Interest in procedures</SoftSkill> and <SoftSkill>Ability to work on and solve problems</SoftSkill>.
5," •  <SoftSkill_C>Selbstständiger</SoftSkill_C>, <SoftSkill_C>exakter</SoftSkill_C> und <SoftSkill>zuverlässiger Arbeitsstil</SoftSkill>; <SoftSkill>Einsatzfreude</SoftSkill> und <SoftSkill>Belastbarkeit</SoftSkill"," • <SoftSkill>Selbstständiger Arbeitsstil</SoftSkill>, <SoftSkill>exakter Arbeitsstil</SoftSkill> und <SoftSkill>zuverlässiger Arbeitsstil</SoftSkill>; <SoftSkill>Einsatzfreude</SoftSkill> und <SoftSkill>Belastbarkeit</SoftSkill>","['Selbstständiger Arbeitsstil', 'exakter Arbeitsstil', 'zuverlässiger Arbeitsstil', 'Einsatzfreude', 'Belastbarkeit']"," - <SoftSkill_C>independent</SoftSkill_C>, <SoftSkill_C>exact</SoftSkill_C> and <SoftSkill>reliable work style</SoftSkill>; <SoftSkill>commitment</SoftSkill> and <SoftSkill>resilience</SoftSkill"," - <SoftSkill>independent work style</SoftSkill>, <SoftSkill>exact work style</SoftSkill> and <SoftSkill>reliable work style</SoftSkill>; <SoftSkill>commitment</SoftSkill> and <SoftSkill>resilience</SoftSkill>."
6," Sie sind <SoftSkill>in der Lage, Projekte umsichtig</SoftSkill> und <SoftSkill_C>zielorientiert</SoftSkill_C>, mit <SoftSkill_C>klarer</SoftSkill_C> und <SoftSkill>stufengerechter Kommunikation</SoftSkill> und <SoftSkill>sozialer Kompetenz</SoftSkill> zu begleiten."," Sie sind <SoftSkill>in der Lage, Projekte umsichtig</SoftSkill> und <SoftSkill>in der Lage, Projekte zielorientiert</SoftSkill>, mit <SoftSkill>klarer Kommunikation</SoftSkill> und <SoftSkill>stufengerechter Kommunikation</SoftSkill> und <SoftSkill>sozialer Kompetenz</SoftSkill> zu begleiten.","['in der Lage, Projekte umsichtig', 'in der Lage, Projekte zielorientiert', 'klarer Kommunikation', 'stufengerechter Kommunikation', 'sozialer Kompetenz']"," You are <SoftSkill>able to manage projects prudently</SoftSkill> and <SoftSkill_C>goal-oriented</SoftSkill_C>, with <SoftSkill_C>clear</SoftSkill_C> and <SoftSkill>level-appropriate communication</SoftSkill> and <SoftSkill>social competence</SoftSkill>."," You are <SoftSkill>able to manage projects prudently</SoftSkill> and <SoftSkill>able to manage projects in a goal-oriented</SoftSkill> manner, with <SoftSkill>clear communication</SoftSkill> and <SoftSkill>level-appropriate communication</SoftSkill> and <SoftSkill>social competence</SoftSkill>."
7," Ihre <SoftSkill_C>abstrakte</SoftSkill_C>, <SoftSkill_C>analytische</SoftSkill_C> und <SoftSkill>systematische Denkweise</SoftSkill>, fundierten Erfahrungen und <SoftSkill>innovativen Ideen</SoftSkill> <SoftSkill>bringen Sie aktiv in die Projekte ein</SoftSkill>."," Ihre <SoftSkill>abstrakte Denkweise</SoftSkill>, <SoftSkill>analytische Denkweise</SoftSkill> und <SoftSkill>systematische Denkweise</SoftSkill>, fundierten Erfahrungen und <SoftSkill>innovativen Ideen</SoftSkill> <SoftSkill>bringen Sie aktiv in die Projekte ein</SoftSkill>.","['abstrakte Denkweise', 'analytische Denkweise', 'systematische Denkweise', 'innovativen Ideen', 'bringen Sie aktiv in die Projekte ein']"," Your <SoftSkill_C>abstract</SoftSkill_C>, <SoftSkill_C>analytical</SoftSkill_C> and <SoftSkill>systematic way of thinking</SoftSkill>, sound experience and <SoftSkill>innovative ideas</SoftSkill> <SoftSkill> you actively bring into the projects</SoftSkill>."," Your <SoftSkill>abstract way of thinking</SoftSkill>, <SoftSkill>analytical way of thinking</SoftSkill> and <SoftSkill>systematic way of thinking</SoftSkill>, sound experience and <SoftSkill>innovative ideas</SoftSkill> <SoftSkill> you actively bring into the projects</SoftSkill>."
8, In dieser Position benötigen Sie nebst Ihren <SoftSkill>fachlichen Qualitäten</SoftSkill> eine <SoftSkill_C>hohe Planungs-</SoftSkill_C> und <SoftSkill>Organisationsfähigkeit</SoftSkill>., In dieser Position benötigen Sie nebst Ihren <SoftSkill>fachlichen Qualitäten</SoftSkill> eine <SoftSkill>hohe Planungsfähigkeit</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>.,"['fachlichen Qualitäten', 'hohe Planungsfähigkeit', 'Organisationsfähigkeit']"," In this position, in addition to your <SoftSkill>professional qualities</SoftSkill>, you need <SoftSkill_C>high planning</SoftSkill_C> and <SoftSkill>organisational skills</SoftSkill>."," In this position, in addition to your <SoftSkill>professional qualities</SoftSkill>, you need <SoftSkill>high planning skills</SoftSkill> and <SoftSkill>organisational skills</SoftSkill>."
9," •  einer <SoftSkill_C>sehr exakten</SoftSkill_C>, <SoftSkill_C>strukturierten</SoftSkill_C>, <SoftSkill_C>selbstständigen</SoftSkill_C> und <SoftSkill>dienstleistungsorientierten Arbeitsweise</SoftSkill> sowie <SoftSkill>Flexibilität
bezüglich den Arbeitseinsätzen</SoftSkill> (während den Abschlüssen)."," • einer <SoftSkill>sehr exakten Arbeitsweise</SoftSkill>, <SoftSkill>strukturierten Arbeitsweise</SoftSkill>, <SoftSkill>selbstständigen Arbeitsweise</SoftSkill> und <SoftSkill>dienstleistungsorientierten Arbeitsweise</SoftSkill> sowie <SoftSkill>Flexibilität bezüglich den Arbeitseinsätzen</SoftSkill> (während den Abschlüssen).","['sehr exakten Arbeitsweise', 'strukturierten Arbeitsweise', 'selbstständigen Arbeitsweise', 'dienstleistungsorientierten Arbeitsweise', 'Flexibilität bezüglich den Arbeitseinsätzen']"," - a <SoftSkill_C>very accurate</SoftSkill_C>, <SoftSkill_C>structured</SoftSkill_C>, <SoftSkill_C>self-reliant</SoftSkill_C> and <SoftSkill>service-oriented way of working</SoftSkill> as well as <SoftSkill>flexibility.
regarding work assignments</SoftSkill> (during degrees)."," - a <SoftSkill>very accurate way of working</SoftSkill>, <SoftSkill>structured way of working</SoftSkill>, <SoftSkill>self-reliant way of working</SoftSkill> and <SoftSkill>service-oriented way of working</SoftSkill> as well as <SoftSkill>flexibility regarding work assignments</SoftSkill> (during closings)."
