,idx,input,generated_text,expected_text,wrong GPT3,Problem type,expected_skills_all,generated_skills_all,input_skills_C,input_skills_all,expected_skills_C,generated_skills_C,num_skills_all,num_skills_C,num_gen_skills_all,num_gen_skills_C,percent_skills_match_all,percent_skills_match_C,num_skills_match_all,num_skills_match_C,cleaned_generated_text,cleaned_expected_text,sentence_levenshtein,rouge_scores_skill_C,bleu_scores_skill_C,rouge1_avg_skill_C,rouge2_avg_skill_C,rougeL_avg_skill_C,bleu_avg_skill_C,levenshtein_skill_C,rouge_scores_skill_all,bleu_scores_skill_all,rouge1_avg_skill_all,rouge2_avg_skill_all,rougeL_avg_skill_all,bleu_avg_skill_all,levenshtein_skill_all,mismatched_ALL
350,536,•  <SoftSkill_C>autonomes</SoftSkill_C> und <SoftSkill>initiatives Arbeiten</SoftSkill> ->,<SoftSkill>autonomes Arbeiten</SoftSkill> und <SoftSkill>initiatives Arbeiten</SoftSkill>,<SoftSkill>autonomes Arbeiten</SoftSkill> und <SoftSkill>initiatives Arbeiten</SoftSkill>,1,OWA,"['autonomes Arbeiten', 'initiatives Arbeiten']","['autonomes Arbeiten', 'initiatives Arbeiten']",['autonomes'],"['autonomes', 'initiatives Arbeiten']",['autonomes Arbeiten'],['autonomes Arbeiten'],2,1,2,1,100.0,100.0,2.0,1.0,autonomes Arbeiten und initiatives Arbeiten,autonomes Arbeiten und initiatives Arbeiten,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False
351,537," Darüber hinaus verfügen Sie über sehr gute Englischkenntnisse und die <SoftSkill>Fähigkeit, ein Team zu begeistern</SoftSkill> und zu <SoftSkill_C>motivieren</SoftSkill_C>. ->"," Darüber hinaus verfügen Sie über sehr gute Englischkenntnisse und die <SoftSkill>Fähigkeit, ein Team zu begeistern</SoftSkill> und <SoftSkill>die Fähigkeit, ein Team zu motivieren</SoftSkill>."," Darüber hinaus verfügen Sie über sehr gute Englischkenntnisse und die <SoftSkill>Fähigkeit, ein Team zu begeistern</SoftSkill> und <SoftSkill>die Fähigkeit, ein Team zu motivieren</SoftSkill>.",1,MWA,"['Fähigkeit, ein Team zu begeistern', 'die Fähigkeit, ein Team zu motivieren']","['Fähigkeit, ein Team zu begeistern', 'die Fähigkeit, ein Team zu motivieren']",['motivieren'],"['Fähigkeit, ein Team zu begeistern', 'motivieren']","['die Fähigkeit, ein Team zu motivieren']","['die Fähigkeit, ein Team zu motivieren']",2,1,2,1,100.0,100.0,2.0,1.0," Darüber hinaus verfügen Sie über sehr gute Englischkenntnisse und die Fähigkeit, ein Team zu begeistern und die Fähigkeit, ein Team zu motivieren."," Darüber hinaus verfügen Sie über sehr gute Englischkenntnisse und die Fähigkeit, ein Team zu begeistern und die Fähigkeit, ein Team zu motivieren.",0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False
352,538,Ein <SoftSkill>ausgedehntes Flair für Zahlen</SoftSkill> und <SoftSkill_C>vernetztes Denken</SoftSkill_C> runden Ihr Profil ab. ->,Ein <SoftSkill>ausgedehntes Flair für Zahlen</SoftSkill> und <SoftSkill>vernetztes Denken</SoftSkill> runden Ihr Profil ab.,Ein <SoftSkill>ausgedehntes Flair für Zahlen</SoftSkill> und <SoftSkill>ausgedehntes Flair für vernetztes Denken</SoftSkill> runden Ihr Profil ab.,0,NONE,"['ausgedehntes Flair für Zahlen', 'ausgedehntes Flair für vernetztes Denken']","['ausgedehntes Flair für Zahlen', 'vernetztes Denken']",['vernetztes Denken'],"['ausgedehntes Flair für Zahlen', 'vernetztes Denken']",['ausgedehntes Flair für vernetztes Denken'],['vernetztes Denken'],2,1,2,1,50.0,0.0,1.0,0.0,Ein ausgedehntes Flair für Zahlen und vernetztes Denken runden Ihr Profil ab.,Ein ausgedehntes Flair für Zahlen und ausgedehntes Flair für vernetztes Denken runden Ihr Profil ab.,23,"[[{'rouge-1': {'r': 1.0, 'p': 0.4, 'f': 0.5714285673469389}, 'rouge-2': {'r': 1.0, 'p': 0.25, 'f': 0.39999999680000003}, 'rouge-l': {'r': 1.0, 'p': 0.4, 'f': 0.5714285673469389}}]]",[0.2584789094739671],0.5714285673469389,0.39999999680000003,0.5714285673469389,0.2584789094739671,23,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 0.4, 'f': 0.5714285673469389}, 'rouge-2': {'r': 1.0, 'p': 0.25, 'f': 0.39999999680000003}, 'rouge-l': {'r': 1.0, 'p': 0.4, 'f': 0.5714285673469389}}]]","[1.0, 0.2584789094739671]",0.7857142811734694,0.6999999959000001,0.7857142811734694,0.6292394547369835,23,False
353,539,•  <SoftSkill_C>selbständiges</SoftSkill_C> und <SoftSkill>eigenverantwortliches Arbeiten</SoftSkill> ->,<SoftSkill>Selbständiges Arbeiten</SoftSkill> und <SoftSkill>eigenverantwortliches Arbeiten</SoftSkill>,<SoftSkill>Selbständiges Arbeiten</SoftSkill> und <SoftSkill>eigenverantwortliches Arbeiten</SoftSkill>,1,OWA,"['Selbständiges Arbeiten', 'eigenverantwortliches Arbeiten']","['Selbständiges Arbeiten', 'eigenverantwortliches Arbeiten']",['selbständiges'],"['selbständiges', 'eigenverantwortliches Arbeiten']",['Selbständiges Arbeiten'],['Selbständiges Arbeiten'],2,1,2,1,100.0,100.0,2.0,1.0,Selbständiges Arbeiten und eigenverantwortliches Arbeiten,Selbständiges Arbeiten und eigenverantwortliches Arbeiten,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False
354,540," Du <SoftSkill>arbeitest selbstständig</SoftSkill>, <SoftSkill_C>motiviert</SoftSkill_C> und <SoftSkill_C>gerne im Team</SoftSkill_C>. ->"," Du <SoftSkill>arbeitest selbstständig</SoftSkill>, <SoftSkill>arbeitest motiviert</SoftSkill> und <SoftSkill>arbeitest gerne im Team</SoftSkill>."," Du <SoftSkill>arbeitest selbstständig</SoftSkill>, <SoftSkill>arbeitest motiviert</SoftSkill> und <SoftSkill>arbeitest gerne im Team</SoftSkill>.",1,MC,"['arbeitest selbstständig', 'arbeitest motiviert', 'arbeitest gerne im Team']","['arbeitest selbstständig', 'arbeitest motiviert', 'arbeitest gerne im Team']","['motiviert', 'gerne im Team']","['arbeitest selbstständig', 'motiviert', 'gerne im Team']","['arbeitest motiviert', 'arbeitest gerne im Team']","['arbeitest motiviert', 'arbeitest gerne im Team']",3,2,3,2,100.0,100.0,3.0,2.0," Du arbeitest selbstständig, arbeitest motiviert und arbeitest gerne im Team."," Du arbeitest selbstständig, arbeitest motiviert und arbeitest gerne im Team.",0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False
355,541," <SoftSkill_C>Präzises</SoftSkill_C>, <SoftSkill>genaues arbeiten</SoftSkill> und <SoftSkill>sehr gute organisatorische Fähigkeiten</SoftSkill> ->"," <SoftSkill>Präzises arbeiten</SoftSkill>, <SoftSkill>genaues arbeiten</SoftSkill> und <SoftSkill>sehr gute organisatorische Fähigkeiten</SoftSkill>"," <SoftSkill>Präzises arbeiten</SoftSkill>, <SoftSkill>genaues arbeiten</SoftSkill> und <SoftSkill>sehr gute organisatorische Fähigkeiten</SoftSkill>",1,OWA,"['Präzises arbeiten', 'genaues arbeiten', 'sehr gute organisatorische Fähigkeiten']","['Präzises arbeiten', 'genaues arbeiten', 'sehr gute organisatorische Fähigkeiten']",['Präzises'],"['Präzises', 'genaues arbeiten', 'sehr gute organisatorische Fähigkeiten']",['Präzises arbeiten'],['Präzises arbeiten'],3,1,3,1,100.0,100.0,3.0,1.0," Präzises arbeiten, genaues arbeiten und sehr gute organisatorische Fähigkeiten"," Präzises arbeiten, genaues arbeiten und sehr gute organisatorische Fähigkeiten",0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False
356,542," Als <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>kontaktfreudige</SoftSkill_C> und <SoftSkill>verhandlungsgeschickte Persönlichkeit</SoftSkill> sind auch mündliche Fremdsprachenkenntnisse von Vorteil. ->"," Als <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>kontaktfreudige Persönlichkeit</SoftSkill> und <SoftSkill>verhandlungsgeschickte Persönlichkeit</SoftSkill> sind auch mündliche Fremdsprachenkenntnisse von Vorteil."," Als <SoftSkill>kommunikative Persönlichkeit</SoftSkill>, <SoftSkill>kontaktfreudige Persönlichkeit</SoftSkill> und <SoftSkill>verhandlungsgeschickte Persönlichkeit</SoftSkill> sind auch mündliche Fremdsprachenkenntnisse von Vorteil.",1,MC,"['kommunikative Persönlichkeit', 'kontaktfreudige Persönlichkeit', 'verhandlungsgeschickte Persönlichkeit']","['kommunikative Persönlichkeit', 'kontaktfreudige Persönlichkeit', 'verhandlungsgeschickte Persönlichkeit']","['kommunikative', 'kontaktfreudige']","['kommunikative', 'kontaktfreudige', 'verhandlungsgeschickte Persönlichkeit']","['kommunikative Persönlichkeit', 'kontaktfreudige Persönlichkeit']","['kommunikative Persönlichkeit', 'kontaktfreudige Persönlichkeit']",3,2,3,2,100.0,100.0,3.0,2.0," Als kommunikative Persönlichkeit, kontaktfreudige Persönlichkeit und verhandlungsgeschickte Persönlichkeit sind auch mündliche Fremdsprachenkenntnisse von Vorteil."," Als kommunikative Persönlichkeit, kontaktfreudige Persönlichkeit und verhandlungsgeschickte Persönlichkeit sind auch mündliche Fremdsprachenkenntnisse von Vorteil.",0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False
357,543," Für unser Logistik Competence Center (LCC) am Standort in Luzern, suchen wir nach Vereinbarung eine <SoftSkill_C>kommunikative</SoftSkill_C>, <SoftSkill_C>verantwortungs-bewusste</SoftSkill_C> und <SoftSkill>erfahrene Person</SoftSkill> als
Logistics Competence Manager ->"," Für unser Logistik Competence Center (LCC) am Standort in Luzern, suchen wir nach Vereinbarung eine <SoftSkill>kommunikative Person</SoftSkill>, <SoftSkill>verantwortungsbewusste Person</SoftSkill> und <SoftSkill>erfahrene Person</SoftSkill> als Logistics Competence Manager."," Für unser Logistik Competence Center (LCC) am Standort in Luzern, suchen wir nach Vereinbarung eine <SoftSkill>kommunikative Person</SoftSkill>, <SoftSkill>verantwortungsbewusste Person</SoftSkill> und <SoftSkill>erfahrene Person</SoftSkill> als Logistics Competence Manager.",1,MC,"['kommunikative Person', 'verantwortungsbewusste Person', 'erfahrene Person']","['kommunikative Person', 'verantwortungsbewusste Person', 'erfahrene Person']","['kommunikative', 'verantwortungs-bewusste']","['kommunikative', 'verantwortungs-bewusste', 'erfahrene Person']","['kommunikative Person', 'verantwortungsbewusste Person']","['kommunikative Person', 'verantwortungsbewusste Person']",3,2,3,2,100.0,100.0,3.0,2.0," Für unser Logistik Competence Center (LCC) am Standort in Luzern, suchen wir nach Vereinbarung eine kommunikative Person, verantwortungsbewusste Person und erfahrene Person als Logistics Competence Manager."," Für unser Logistik Competence Center (LCC) am Standort in Luzern, suchen wir nach Vereinbarung eine kommunikative Person, verantwortungsbewusste Person und erfahrene Person als Logistics Competence Manager.",0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False
358,544,Sie sind eine <SoftSkill_C>sozial</SoftSkill_C> und <SoftSkill>fachlich kompetente Persönlichkeit</SoftSkill> mit abgeschlossener Ausbildung zur/zum Dipl. Pflegefachfrau/mann HF und verfügen bereits über Berufserfahrung im Akutspital im Bereich Medizin. ->,Sie sind eine <SoftSkill>sozial kompetente Persönlichkeit</SoftSkill> und <SoftSkill>fachlich kompetente Persönlichkeit</SoftSkill> mit abgeschlossener Ausbildung zur/zum Dipl. Pflegefachfrau/mann HF und verfügen bereits über Berufserfahrung im Akutspital im Bereich Medizin.,Sie sind eine <SoftSkill>sozial kompetente Persönlichkeit</SoftSkill> und <SoftSkill>fachlich kompetente Persönlichkeit</SoftSkill> mit abgeschlossener Ausbildung zur/zum Dipl. Pflegefachfrau/mann HF und verfügen bereits über Berufserfahrung im Akutspital im Bereich Medizin.,1,MWA,"['sozial kompetente Persönlichkeit', 'fachlich kompetente Persönlichkeit']","['sozial kompetente Persönlichkeit', 'fachlich kompetente Persönlichkeit']",['sozial'],"['sozial', 'fachlich kompetente Persönlichkeit']",['sozial kompetente Persönlichkeit'],['sozial kompetente Persönlichkeit'],2,1,2,1,100.0,100.0,2.0,1.0,Sie sind eine sozial kompetente Persönlichkeit und fachlich kompetente Persönlichkeit mit abgeschlossener Ausbildung zur/zum Dipl. Pflegefachfrau/mann HF und verfügen bereits über Berufserfahrung im Akutspital im Bereich Medizin.,Sie sind eine sozial kompetente Persönlichkeit und fachlich kompetente Persönlichkeit mit abgeschlossener Ausbildung zur/zum Dipl. Pflegefachfrau/mann HF und verfügen bereits über Berufserfahrung im Akutspital im Bereich Medizin.,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False
359,545," Mit ihrer <SoftSkill_C>offenen</SoftSkill_C>, <SoftSkill_C>freundlichen</SoftSkill_C> und <SoftSkill>kundenorientierten Art</SoftSkill> <SoftSkill>erkennen sie die Wünsche der Kundschaft</SoftSkill> und <SoftSkill>beraten diese professionell</SoftSkill> und <SoftSkill_C>mit Begeisterung</SoftSkill_C>. ->"," Mit ihrer <SoftSkill>offenen Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kundenorientierten Art</SoftSkill> <SoftSkill>erkennen sie die Wünsche der Kundschaft</SoftSkill> und <SoftSkill>beraten diese professionell</SoftSkill> und <SoftSkill>beraten diese mit Begeisterung</SoftSkill>."," Mit ihrer <SoftSkill>offenen Art</SoftSkill>, <SoftSkill>freundlichen Art</SoftSkill> und <SoftSkill>kundenorientierten Art</SoftSkill> <SoftSkill>erkennen sie die Wünsche der Kundschaft</SoftSkill> und <SoftSkill>beraten diese professionell</SoftSkill> und <SoftSkill>beraten diese mit Begeisterung</SoftSkill>.",1,MC,"['offenen Art', 'freundlichen Art', 'kundenorientierten Art', 'erkennen sie die Wünsche der Kundschaft', 'beraten diese professionell', 'beraten diese mit Begeisterung']","['offenen Art', 'freundlichen Art', 'kundenorientierten Art', 'erkennen sie die Wünsche der Kundschaft', 'beraten diese professionell', 'beraten diese mit Begeisterung']","['offenen', 'freundlichen', 'mit Begeisterung']","['offenen', 'freundlichen', 'kundenorientierten Art', 'erkennen sie die Wünsche der Kundschaft', 'beraten diese professionell', 'mit Begeisterung']","['offenen Art', 'freundlichen Art', 'beraten diese mit Begeisterung']","['offenen Art', 'freundlichen Art', 'beraten diese mit Begeisterung']",6,3,6,3,100.0,100.0,6.0,3.0," Mit ihrer offenen Art, freundlichen Art und kundenorientierten Art erkennen sie die Wünsche der Kundschaft und beraten diese professionell und beraten diese mit Begeisterung."," Mit ihrer offenen Art, freundlichen Art und kundenorientierten Art erkennen sie die Wünsche der Kundschaft und beraten diese professionell und beraten diese mit Begeisterung.",0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999999,0.9999999949999999,0.9999999949999999,1.0,0,False
