,input,output,prediction,result,Levenshtein_dist
415,Industrie- und Laborgeräte,Industriegeräte und Laborgeräte,<extra_id_0>gerätegerätegerätegerätegerätegerätegerätegerätegerätegerätegerätegerätegerätegerätegerätegerätegerätegeräte,0,103
416,Aus- und Weiterbildungsausweis,Ausbildungsausweis und Weiterbildungsausweis,<extra_id_0>ausweisausweisausweisausweisausweisausweisausweisausweisausweisausweisausweisausweisausweisausweisausweisausweisausweisausweis,0,112
417,Schutz- und Arbeitskleider,Schutzkleider und Arbeitskleider,<extra_id_0>,0,29
418,Migros- und Partnerbetrieben,Migrosbetrieben und Partnerbetrieben,<extra_id_0>betrieben undbetrieben undbetrieben undbetrieben und,0,37
419,Transaktions- und Managementberatung,Transaktionsberatung und Managementberatung,<extra_id_0>,0,39
420,Steil- und Flachdächern,Steildächern und Flachdächern,<extra_id_0> Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach Flach,0,106
421,Data- und Frischekontrolle,Datakontrolle und Frischekontrolle,<extra_id_0>.,0,31
422,Decken- und Bodenkonstruktionen,Deckenkonstruktionen und Bodenkonstruktionen,<extra_id_0>- und Bodenkonstruktionen,0,17
423,Transport- und Logistikunternehmen,Transportunternehmen und Logistikunternehmen,<extra_id_0>,0,41
424,Standard- und Nutzeranwendungen,Standardanwendungen und Nutzeranwendungen,<extra_id_0>- Benutzeranwendungen,0,21
425,Kranken- und Pensionskasse,Krankenkasse und Pensionskasse,<extra_id_0>kassekassekassekassekassekassekassekassekassekassekassekassekassekassekassekassekassekasse,0,85
426,Pflege- und Betreuungsqualität,Pflegequalität und Betreuungsqualität,<extra_id_0>,0,33
427,Neu- und Weiterentwicklung,Neuentwicklung und Weiterentwicklung,<extra_id_0>,0,32
428,Haus- und Sondermüll,Hausmüll und Sondermüll,<extra_id_0>üll,0,19
429,Bundes- und Bundesverwaltungsgericht,Bundesgericht und Bundesverwaltungsgericht,<extra_id_0>verwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltungverwaltung,0,166
430,Verkehrs- und Energiedirektion,Verkehrsdirektion und Energiedirektion,<extra_id_0>direkt,0,28
431,Digitalisierung- und Nachhaltigkeitsstrategien,Digitalisierungstrategien und Nachhaltigkeitsstrategien,<extra_id_0>isierung,0,45
