sample-id,context,input,output,invalid,comments,valids
sjmm-32021190030875__2608-2653,Verkehrsmittel Attraktive Weiterbildungs- und Entwicklungsmöglichkeiten ROCKEN Partner stehen ein für interne,Weiterbildungs- und Entwicklungsmöglichkeiten,Weiterbildungsmöglichkeiten und Entwicklungsmöglichkeiten,FALSE,,1
sjmm-22008109700894__101-129,zu den führenden Anbietern in der Stanz- und Umformtechnologie . Zur Ergänzung unseres Teams in der,Stanz- und Umformtechnologie,Stanztechnologie und Umformtechnologie,FALSE,,1
sjmm-72019104333126__1460-1479,Tigers . Beteiligung beim Kauf von Ski- und Velohelmen und Vergünstigung in diversen,Ski- und Velohelmen,Skihelmen und Velohelmen,FALSE,,1
sjmm-32016190011367__564-582,dabei Planen die Baukosten Abklären Vor- und Nachteile verschiedener Bauverfahren Erarbeiten,Vor- und Nachteile,Vorteile und Nachteile,FALSE,,1
sjmm-72015117754010__1152-1183,motivierte Jugendliche mit hoher Lern- und Leistungsbereitschaft und legen grossen Wert auf,Lern- und Leistungsbereitschaft,Lernbereitschaft und Leistungsbereitschaft,FALSE,,1
sjmm-22003109770011__749-771,Weltmarktführer für die Aufladung von Diesel- und Gasmotoren im Leistungsbereich oberhalb 500 kW,Diesel- und Gasmotoren,Dieselmotoren und Gasmotoren,FALSE,,1
sjmm-32020190160030__1291-1320,"CAS "" Mandatsführung im Kindes- und Erwachsenenschutz "" von Vorteil Rechtskenntnisse im",Kindes- und Erwachsenenschutz,Kindesschutz und Erwachsenenschutz,FALSE,,1
sjmm-22004109650011__552-577,sowie die regelmässige Erfolgs- und Fortschritts- und Budgetkontrolle . Massgebliche,Erfolgs- und Fortschritts,,TRUE,,0
sjmm-32019190190727__489-517,und motivierte Persönlichkeit als Garten- und Landschaftsbauer ( Golf ) / Allrounder 100 % ( w / m,Garten- und Landschaftsbauer,Gartenbauer und Landschaftsbauer,FALSE,,1
sjmm-22010112800309__636-674,zeichnen Sie aus . Französisch- und Italienischkenntnisse erwünscht . Idealalter 20 bis 35 Jahre,Französisch- und Italienischkenntnisse,Französischkenntnisse und Italienischkenntnisse,FALSE,,1
sjmm-72020121352748__1765-1799,"TARMED , DRG ) Sehr gute Deutsch- und Französischkenntnisse Gute IT-Kenntnisse sowie eine",Deutsch- und Französischkenntnisse,Deutschkenntnisse und Französischkenntnisse,FALSE,,1
