idx,input,expected_text,generated_text,input_skills_C,expected_skills_C,generated_skills_C,num_skills_C,num_gen_skills_C,percent_skills_match_C,num_skills_match_C,rouge_scores_skill_C,bleu_scores_skill_C,rouge1_avg_skill_C,rouge2_avg_skill_C,rougeL_avg_skill_C,bleu_avg_skill_C,levenshtein_skill_C,mismatched_ALL,Problem type
286,Sind Sie eine <SoftSkill_C>belastbare</SoftSkill_C> und <SoftSkill>teamorientierte Person</SoftSkill> und zeichnen sich durch <SoftSkill>Strukturiertheit</SoftSkill> und <SoftSkill>organisatorisches Geschick</SoftSkill> aus? ->,Sind Sie eine <SoftSkill>belastbare Person</SoftSkill> und <SoftSkill>teamorientierte Person</SoftSkill> und zeichnen sich durch <SoftSkill>Strukturiertheit</SoftSkill> und <SoftSkill>organisatorisches Geschick</SoftSkill> aus?,Sind Sie eine <SoftSkill>belastbare Person</SoftSkill> und <SoftSkill>teamorientierte Person</SoftSkill> und zeichnen sich durch <SoftSkill>Strukturiertheit</SoftSkill> und <SoftSkill>organisatorisches Geschick</SoftSkill> aus?,['belastbare'],['belastbare Person'],['belastbare Person'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
287," Abgeschlossene Weiterbildung NDS Intensivpflege
<SoftSkill_C>Selbständiges</SoftSkill_C> und <SoftSkill>verantwortungsvolles Arbeiten</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Technisches Verständnis</SoftSkill> ->","  Abgeschlossene Weiterbildung NDS Intensivpflege
<SoftSkill>Selbständiges Arbeiten</SoftSkill> und <SoftSkill>verantwortungsvolles Arbeiten</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Technisches Verständnis</SoftSkill>","  Abgeschlossene Weiterbildung NDS Intensivpflege
<SoftSkill>Selbständiges Arbeiten</SoftSkill> und <SoftSkill>verantwortungsvolles Arbeiten</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Technisches Verständnis</SoftSkill>",['Selbständiges'],['Selbständiges Arbeiten'],['Selbständiges Arbeiten'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
288," Ihre <SoftSkill>ausgeprägte Eigenmotivation</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill> sowie eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill_C>lösungs-</SoftSkill_C> und <SoftSkill>kundenorientierte Arbeitsweise</SoftSkill> runden Ihr Profil ab. ->","  Ihre <SoftSkill>ausgeprägte Eigenmotivation</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill> sowie eine <SoftSkill>selbständige Arbeitsweise</SoftSkill>, <SoftSkill>lösungsorientierte Arbeitsweise</SoftSkill> und <SoftSkill>kundenorientierte Arbeitsweise</SoftSkill> runden Ihr Profil ab.","  Ihre <SoftSkill>ausgeprägte Eigenmotivation</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill> sowie eine <SoftSkill>selbständige Arbeitsweise</SoftSkill>, <SoftSkill>lösungsorientierte Arbeitsweise</SoftSkill> und <SoftSkill>kundenorientierte Arbeitsweise</SoftSkill> runden Ihr Profil ab.","['selbständige', 'lösungs-']","['selbständige Arbeitsweise', 'lösungsorientierte Arbeitsweise']","['ausgeprägte Eigenmotivation', 'Eigeninitiative']",2,2,0.0,0.0,"[[{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}], [{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}]]","[2.7013393830804367e-78, 3.2322015160096222e-155]",0.0,0.0,0.0,1.3506696915402183e-78,44,False,HMC
289," Erfahrung und <SoftSkill>Freude im Umgang mit Handverpackungsarbeiten</SoftSkill>
<SoftSkill>Freundlichkeit</SoftSkill>, <SoftSkill>Pünktlichkeit</SoftSkill> und <SoftSkill>Selbstständigkeit</SoftSkill>
Zu Ihren Stärken gehören <SoftSkill_C>sauberes</SoftSkill_C> und <SoftSkill>zuverlässiges Arbeiten</SoftSkill>. ->"," Erfahrung und <SoftSkill>Freude im Umgang mit Handverpackungsarbeiten</SoftSkill>
<SoftSkill>Freundlichkeit</SoftSkill>, <SoftSkill>Pünktlichkeit</SoftSkill> und <SoftSkill>Selbstständigkeit</SoftSkill>
Zu Ihren Stärken gehören <SoftSkill>sauberes Arbeiten</SoftSkill> und <SoftSkill>zuverlässiges Arbeiten</SoftSkill>.



"," Erfahrung und <SoftSkill>Freude im Umgang mit Handverpackungsarbeiten</SoftSkill>
<SoftSkill>Freundlichkeit</SoftSkill>, <SoftSkill>Pünktlichkeit</SoftSkill> und <SoftSkill>Selbstständigkeit</SoftSkill>
Zu Ihren Stärken gehören <SoftSkill>sauberes Arbeiten</SoftSkill> und <SoftSkill>zuverlässiges Arbeiten</SoftSkill>.



",['sauberes'],['sauberes Arbeiten'],['Freude im Umgang mit Handverpackungsarbeiten'],1,1,0.0,0.0,"[[{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}]]",[0.16676755647470037],0.0,0.0,0.0,0.16676755647470037,34,False,OWA
290," •  Sie <SoftSkill>arbeiten kundenorientiert</SoftSkill>, <SoftSkill_C>organisiert</SoftSkill_C> und <SoftSkill>treten gepfl egt und selbstsicher auf</SoftSkill>. ->"," • Sie <SoftSkill>arbeiten kundenorientiert</SoftSkill>, <SoftSkill>arbeiten organisiert</SoftSkill> und <SoftSkill>treten gepfl egt und selbstsicher auf</SoftSkill>."," • Sie <SoftSkill>arbeiten kundenorientiert</SoftSkill>, <SoftSkill>arbeiten organisiert</SoftSkill> und <SoftSkill>treten gepfl egt und selbstsicher auf</SoftSkill>.",['organisiert'],['arbeiten organisiert'],['arbeiten kundenorientiert'],1,1,0.0,0.0,"[[{'rouge-1': {'r': 0.5, 'p': 0.5, 'f': 0.4999999950000001}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.5, 'p': 0.5, 'f': 0.4999999950000001}}]]",[0.45359393336810816],0.4999999950000001,0.0,0.4999999950000001,0.45359393336810816,10,False,OWA
291," Wir stellen uns eine <SoftSkill_C>initiative</SoftSkill_C>, <SoftSkill_C>kommunikative</SoftSkill_C> und <SoftSkill>konfliktfähige Persönlichkeit</SoftSkill> vor, welche <SoftSkill>auch in hektischen Zeiten den Überblick bewahrt</SoftSkill>. ->"," Wir stellen uns eine <SoftSkill>initiative Persönlichkeit</SoftSkill>, <SoftSkill>kommunikative Persönlichkeit</SoftSkill> und <SoftSkill>konfliktfähige Persönlichkeit</SoftSkill> vor, welche <SoftSkill>auch in hektischen Zeiten den Überblick bewahrt</SoftSkill>."," Wir stellen uns eine <SoftSkill>initiative Persönlichkeit</SoftSkill>, <SoftSkill>kommunikative Persönlichkeit</SoftSkill> und <SoftSkill>konfliktfähige Persönlichkeit</SoftSkill> vor, welche <SoftSkill>auch in hektischen Zeiten den Überblick bewahrt</SoftSkill>.","['initiative', 'kommunikative']","['initiative Persönlichkeit', 'kommunikative Persönlichkeit']","['initiative Persönlichkeit', 'kommunikative Persönlichkeit']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MC
292,Sie <SoftSkill_C>denken</SoftSkill_C> und <SoftSkill>handeln vernetzt</SoftSkill> und <SoftSkill>arbeiten strukturiert</SoftSkill>. ->,Sie <SoftSkill>denken vernetzt</SoftSkill> und <SoftSkill>handeln vernetzt</SoftSkill> und <SoftSkill>arbeiten strukturiert</SoftSkill>.,Sie <SoftSkill>denken vernetzt</SoftSkill> und <SoftSkill>handeln vernetzt</SoftSkill> und <SoftSkill>arbeiten strukturiert</SoftSkill>.,['denken'],['denken vernetzt'],['denken vernetzt'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
293," eine abgeschlossene dreijährige Berufslehre (z.B. Fachfrau/Fachmann Gesundheit EFZ oder aus einem anderen Fachbereich oder Fachmittelschule)
<SoftSkill_C>physische</SoftSkill_C> und <SoftSkill>psychische Belastbarkeit</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Verantwortungsbewusstsein</SoftSkill> ->"," eine abgeschlossene dreijährige Berufslehre (z.B. Fachfrau/Fachmann Gesundheit EFZ oder aus einem anderen Fachbereich oder Fachmittelschule)
<SoftSkill>physische Belastbarkeit</SoftSkill> und <SoftSkill>psychische Belastbarkeit</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Verantwortungsbewusstsein</SoftSkill>"," eine abgeschlossene dreijährige Berufslehre (z.B. Fachfrau/Fachmann Gesundheit EFZ oder aus einem anderen Fachbereich oder Fachmittelschule)
<SoftSkill>physische Belastbarkeit</SoftSkill> und <SoftSkill>psychische Belastbarkeit</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Verantwortungsbewusstsein</SoftSkill>",['physische'],['physische Belastbarkeit'],['physische Belastbarkeit'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
294," Abgeschlossenes Nachdiplomstudium Intensivpflege
<SoftSkill>Professionelles Pflegeverständnis</SoftSkill>
<SoftSkill_C>Fach</SoftSkill_C> / <SoftSkill_C>Sozial-</SoftSkill_C> und <SoftSkill>Selbstkompetenz</SoftSkill>
<SoftSkill>Kommunikationsfähigkeit-</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>
<SoftSkill>Motivation</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill_C>Qualitäts-</SoftSkill_C> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill> ->"," Abgeschlossenes Nachdiplomstudium Intensivpflege
<SoftSkill>Professionelles Pflegeverständnis</SoftSkill>
<SoftSkill>Fachkompetenz</SoftSkill> / <SoftSkill>Sozialkompetenz</SoftSkill> und <SoftSkill>Selbstkompetenz</SoftSkill>
<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>
<SoftSkill>Motivation</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Qualitätsbewusstsein</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>"," Abgeschlossenes Nachdiplomstudium Intensivpflege
<SoftSkill>Professionelles Pflegeverständnis</SoftSkill>
<SoftSkill>Fachkompetenz</SoftSkill> / <SoftSkill>Sozialkompetenz</SoftSkill> und <SoftSkill>Selbstkompetenz</SoftSkill>
<SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>
<SoftSkill>Motivation</SoftSkill>, <SoftSkill>Belastbarkeit</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill>
<SoftSkill>Qualitätsbewusstsein</SoftSkill> und <SoftSkill>Verantwortungsbewusstsein</SoftSkill>","['Fach', 'Sozial-', 'Qualitäts-']","['Fachkompetenz', 'Sozialkompetenz', 'Qualitätsbewusstsein']","['Professionelles Pflegeverständnis', 'Fachkompetenz', 'Sozialkompetenz']",3,3,66.66666666666666,2.0,"[[{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}], [{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}], [{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}]]","[1.136638440788832e-231, 0.5703493655663404, 4.566958600302159e-155]",0.0,0.0,0.0,0.19011645518878015,52,False,HMDC
295,Sie besitzen <SoftSkill_C>ausgeprägte konzeptionelle</SoftSkill_C> und <SoftSkill>organisatorische Fähigkeiten</SoftSkill> und sind erfahren im Projektmanagement. ->,Sie besitzen <SoftSkill>ausgeprägte konzeptionelle Fähigkeiten</SoftSkill> und <SoftSkill>organisatorische Fähigkeiten</SoftSkill> und sind erfahren im Projektmanagement.,Sie besitzen <SoftSkill>ausgeprägte konzeptionelle Fähigkeiten</SoftSkill> und <SoftSkill>organisatorische Fähigkeiten</SoftSkill> und sind erfahren im Projektmanagement.,['ausgeprägte konzeptionelle'],['ausgeprägte konzeptionelle Fähigkeiten'],['ausgeprägte konzeptionelle Fähigkeiten'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
