input,expected_text,generated_text,cleaned_generated_text,cleaned_expected_text,sentence_levenshtein,Problem type
"Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill_C>Analyse-</SoftSkill_C> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service","Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill>Analysefähigkeit bei Qualitätskontrollen</SoftSkill> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service","Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill>Analysefähigkeit bei Qualitätskontrollen</SoftSkill> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service",Technische Kenntnisse Gespür für Kundenzufriedenheit Führungsfähigkeiten Organisation der Dienstleistungen Analysefähigkeit bei Qualitätskontrollen und Beobachtungsfähigkeit bei Qualitätskontrollen Verständnis für Service,Technische Kenntnisse Gespür für Kundenzufriedenheit Führungsfähigkeiten Organisation der Dienstleistungen Analysefähigkeit bei Qualitätskontrollen und Beobachtungsfähigkeit bei Qualitätskontrollen Verständnis für Service,0,HOWA
"Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill_C>hoher Lern-</SoftSkill_C> und <SoftSkill>Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil Du bist ein/e motivierte/r Jugendliche/r mit hoher Lernbereitschaft und hoher Leistungsbereitschaft und legst grossen Wert auf Teamfähigkeit, Eigenverantwortung, Selbstständigkeit und Flexibilität.","Anforderungsprofil Du bist ein/e motivierte/r Jugendliche/r mit hoher Lernbereitschaft und hoher Leistungsbereitschaft und legst grossen Wert auf Teamfähigkeit, Eigenverantwortung, Selbstständigkeit und Flexibilität.",0,HOWA
"•  <SoftSkill_C>freundliches</SoftSkill_C>, <SoftSkill_C>sauberes</SoftSkill_C> und <SoftSkill>motiviertes Auftreten</SoftSkill>","<SoftSkill>Freundliches Auftreten</SoftSkill>, <SoftSkill>sauberes Auftreten</SoftSkill> und <SoftSkill>motiviertes Auftreten</SoftSkill>","<SoftSkill>Freundliches Auftreten</SoftSkill>, <SoftSkill>sauberes Auftreten</SoftSkill> und <SoftSkill>motiviertes Auftreten</SoftSkill>","Freundliches Auftreten, sauberes Auftreten und motiviertes Auftreten","Freundliches Auftreten, sauberes Auftreten und motiviertes Auftreten",0,MC
"Durch Ihre <SoftSkill_C>methodische</SoftSkill_C>, <SoftSkill_C>strukturierte</SoftSkill_C>, <SoftSkill_C>exakte</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","Durch Ihre <SoftSkill>methodische Arbeitsweise</SoftSkill>, <SoftSkill>strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","Durch Ihre <SoftSkill>methodische Arbeitsweise</SoftSkill>, <SoftSkill>strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","Durch Ihre methodische Arbeitsweise, strukturierte Arbeitsweise, exakte Arbeitsweise und selbständige Arbeitsweise können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","Durch Ihre methodische Arbeitsweise, strukturierte Arbeitsweise, exakte Arbeitsweise und selbständige Arbeitsweise können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.",0,MC
"Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill>motivierte Persönlichkeit</SoftSkill> als
Bäcke
r","Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>und <SoftSkill>motivierte Persönlichkeit</SoftSkill> als Bäcker.","Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill>selbständige und motivierte Persönlichkeit</SoftSkill> als Bäcker.",Für unsere Abteilung Pâtisserie in der Deliciel in Birmenstorf suchen wir per sofort oder nach Vereinbarung eine selbständige und motivierte Persönlichkeit als Bäcker.,Für unsere Abteilung Pâtisserie in der Deliciel in Birmenstorf suchen wir per sofort oder nach Vereinbarung eine selbständige Persönlichkeitund motivierte Persönlichkeit als Bäcker.,14,OWA
<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill_C>Vorausplanen</SoftSkill_C> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>.,<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill>Vorausplanen</SoftSkill> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>,<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill_C>Vorausplanen</SoftSkill_C> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>,In Zusammenhängen denken und Vorausplanen sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein aufgeweckter Charakter,In Zusammenhängen denken und Vorausplanen sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein aufgeweckter Charakter,0,NONE
"Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill_C>hoher Lern-</SoftSkill_C> und <SoftSkill>Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil Wir suchen für alle unsere Ausbildungsberufe motivierte Jugendliche mit hoher Lernbereitschaft und hoher Leistungsbereitschaft und legen grossen Wert auf Teamfähigkeit, Eigenverantwortung, Selbständigkeit und Flexibilität.","Anforderungsprofil Wir suchen für alle unsere Ausbildungsberufe motivierte Jugendliche mit hoher Lernbereitschaft und hoher Leistungsbereitschaft und legen grossen Wert auf Teamfähigkeit, Eigenverantwortung, Selbständigkeit und Flexibilität.",0,HOWA
"<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill>
Mit der <SoftSkill_C>Fähigkeit</SoftSkill_C> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill_C>etwas zu bewegen</SoftSkill_C>!","<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill> Mit der <SoftSkill>Fähigkeit im Team zu arbeiten</SoftSkill> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill>etwas zu bewegen</SoftSkill>!","<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill> Mit der <SoftSkill>Fähigkeit im Team zu arbeiten</SoftSkill> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill>etwas zu bewegen</SoftSkill>!","Organisationstalent, Verantwortungsbewusst Mit der Fähigkeit im Team zu arbeiten und Freude im Team zu arbeiten und etwas zu bewegen!","Organisationstalent, Verantwortungsbewusst Mit der Fähigkeit im Team zu arbeiten und Freude im Team zu arbeiten und etwas zu bewegen!",0,MWA
"Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill_C>Handeln</SoftSkill_C>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.","Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill>unternehmerisches Handeln</SoftSkill>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.","Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill>unternehmerisches Handeln</SoftSkill>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.","Sie verfügen über unternehmerisches Denken sowie unternehmerisches Handeln, sind serviceorientiert und haben ausgezeichnete Kommunikationsfähigkeiten.","Sie verfügen über unternehmerisches Denken sowie unternehmerisches Handeln, sind serviceorientiert und haben ausgezeichnete Kommunikationsfähigkeiten.",0,OWA
"Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill_C>gutes Durchsetzungs-</SoftSkill_C> und <SoftSkill>Delegationsvermögen</SoftSkill>.","Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill>gutes Durchsetzungsvermögen</SoftSkill> und <SoftSkill>gutes Delegationsvermögen</SoftSkill>.","Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill>gutes Durchsetzungsvermögen</SoftSkill> und <SoftSkill>gutes Delegationsvermögen</SoftSkill>.","Sie sind engagiert, verantwortungsbewusst und haben ein hohes Mass an Sozialkompetenz sowie ein gutes Durchsetzungsvermögen und gutes Delegationsvermögen.","Sie sind engagiert, verantwortungsbewusst und haben ein hohes Mass an Sozialkompetenz sowie ein gutes Durchsetzungsvermögen und gutes Delegationsvermögen.",0,HOWA
