,orig_idx,input,expected_text,Problem type,expected_skills,valid,generated_text,generated_skills
0,752," Wir wenden uns an einen gelernten Uhrmacher mit einem <SoftSkill_C>dienstleitungsorientierten</SoftSkill_C>, <SoftSkill_C>verantwortungsbewussten</SoftSkill_C> wie <SoftSkill>teamorientierten handeln</SoftSkill>."," Wir wenden uns an einen gelernten Uhrmacher mit einem <SoftSkill>dienstleitungsorientierten handeln</SoftSkill>, <SoftSkill>verantwortungsbewussten handeln</SoftSkill> wie <SoftSkill>teamorientierten handeln</SoftSkill>.",MC,"['dienstleitungsorientierten handeln', 'verantwortungsbewussten handeln', 'teamorientierten handeln']",1,"Wir wenden uns an einen gelernten Uhrmacher mit einem SoftSkill>dienstleitungsorientierten handeln/SoftSkill>, SoftSkill>verantwortungsbewussten handeln/SoftSkill> wie SoftSkill>teamorientierten handeln/SoftSkill>.","['dienstleitungsorientierten handeln', 'verantwortungsbewussten handeln', 'teamorientierten handeln']"
1,765,Ihre <SoftSkill>Arbeitsweise ist proaktiv</SoftSkill> mit <SoftSkill_C>hoher Dienstleistungs-</SoftSkill_C> und <SoftSkill>Einsatzbereitschaft</SoftSkill>.,Ihre <SoftSkill>Arbeitsweise ist proaktiv</SoftSkill> mit <SoftSkill>hoher Dienstleistungsbereitschaft</SoftSkill> und <SoftSkill>Einsatzbereitschaft</SoftSkill>.,HOWA,"['Arbeitsweise ist proaktiv', 'hoher Dienstleistungsbereitschaft', 'Einsatzbereitschaft']",1,Ihre SoftSkill>Arbeitsweise ist proaktiv/SoftSkill> mit SoftSkill>hoher Dienstleistungsbereitschaft/SoftSkill> und SoftSkill>Einsatzbereitschaft/SoftSkill>.,"['Arbeitsweise ist proaktiv', 'hoher Dienstleistungsbereitschaft', 'Einsatzbereitschaft']"
2,1655," Voraussetzungen sind eine abgeschlossene Volksschule (Sekundarschule A / B), <SoftSkill_C>psychische</SoftSkill_C> und <SoftSkill>physische Gesundheit</SoftSkill>, <SoftSkill>Kontaktfreudigkeit</SoftSkill>, eine <SoftSkill>gute Auffassungsgabe</SoftSkill>, <SoftSkill_C>Team-</SoftSkill_C> und <SoftSkill>Kommunikations-Fähigkeit</SoftSkill>, <SoftSkill>praktisches Verständnis</SoftSkill> und <SoftSkill>manuelles Geschick</SoftSkill>."," Voraussetzungen sind eine abgeschlossene Volksschule (Sekundarschule A / B), <SoftSkill>psychische Gesundheit</SoftSkill> und <SoftSkill>physische Gesundheit</SoftSkill>, <SoftSkill>Kontaktfreudigkeit</SoftSkill>, eine <SoftSkill>gute Auffassungsgabe</SoftSkill>, <SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>, <SoftSkill>praktisches Verständnis</SoftSkill> und <SoftSkill>manuelles Geschick</SoftSkill>.",HMDC,"['psychische Gesundheit', 'physische Gesundheit', 'Kontaktfreudigkeit', 'gute Auffassungsgabe', 'Teamfähigkeit', 'Kommunikationsfähigkeit', 'praktisches Verständnis', 'manuelles Geschick']",1,"Voraussetzungen sind eine abgeschlossene Volksschule (Sekundarschule A / B), SoftSkill>psychische Gesundheit/SoftSkill> und SoftSkill>physische Gesundheit/SoftSkill>, SoftSkill>Kontaktfreudigkeit/SoftSkill>, eine SoftSkill>gute Auffassungsgabe/SoftSkill>, SoftSkill>Teamfähigkeit/SoftSkill> und SoftSkill>Kommunikationsfähigkeit/SoftSkill>, SoftSkill>praktisches Verständnis/SoftSkill> und SoftSkill>manuelles Geschick/SoftSkill>.","['psychische Gesundheit', 'physische Gesundheit', 'Kontaktfreudigkeit', 'gute Auffassungsgabe', 'Teamfähigkeit', 'Kommunikationsfähigkeit', 'praktisches Verständnis', 'manuelles Geschick']"
3,1252,Sie <SoftSkill_C>wertschätzen</SoftSkill_C> und <SoftSkill>respektieren die Erfahrung der Betroffenen und deren Angehörigen</SoftSkill>.,Sie <SoftSkill>wertschätzen die Erfahrung der Betroffenen und deren Angehörigen</SoftSkill> und <SoftSkill>respektieren die Erfahrung der Betroffenen und deren Angehörigen</SoftSkill>.,MWA,"['wertschätzen die Erfahrung der Betroffenen und deren Angehörigen', 'respektieren die Erfahrung der Betroffenen und deren Angehörigen']",1,Sie SoftSkill>wertschätzen die Erfahrung der Betroffenen und deren Angehörigen/SoftSkill> und SoftSkill>respektieren die Erfahrung der Betroffenen und deren Angehörigen/SoftSkill>.,"['wertschätzen die Erfahrung der Betroffenen und deren Angehörigen', 'respektieren die Erfahrung der Betroffenen und deren Angehörigen']"
4,1102," In unserer täglichen Arbeit legen wir grossen Wert darauf, <SoftSkill_C>wertschätzend</SoftSkill_C> und <SoftSkill>respektvoll miteinader zu kommunizieren</SoftSkill> und <SoftSkill>konstruktiv im Interesse einer hohen Patientenorientierung zusammen zu arbeiten</SoftSkill>."," In unserer täglichen Arbeit legen wir grossen Wert darauf, <SoftSkill>wertschätzend miteinader zu kommunizieren</SoftSkill> und <SoftSkill>respektvoll miteinader zu kommunizieren</SoftSkill> und <SoftSkill>konstruktiv im Interesse einer hohen Patientenorientierung zusammen zu arbeiten</SoftSkill>.",MWA,"['wertschätzend miteinader zu kommunizieren', 'respektvoll miteinader zu kommunizieren', 'konstruktiv im Interesse einer hohen Patientenorientierung zusammen zu arbeiten']",1,"In unserer täglichen Arbeit legen wir grossen Wert darauf, SoftSkill>wertschätzend miteinader zu kommunizieren/SoftSkill> und SoftSkill>respektvoll miteinader zu kommunizieren/SoftSkill> und SoftSkill>konstruktiv im Interesse einer hohen Patientenorientierung zusammen zu arbeiten/SoftSkill>.","['wertschätzend miteinader zu kommunizieren', 'respektvoll miteinader zu kommunizieren', 'konstruktiv im Interesse einer hohen Patientenorientierung zusammen zu arbeiten']"
5,694," Mit Ihrer <SoftSkill_C>offenen</SoftSkill_C> und <SoftSkill>positiven Art</SoftSkill> bedienen Sie unsere Gäste freundlich, <SoftSkill_C>schnell</SoftSkill_C> und nach STARBUCKS® Standards."," Mit Ihrer <SoftSkill>offenen Art</SoftSkill> und <SoftSkill>positiven Art</SoftSkill> bedienen Sie unsere Gäste freundlich, <SoftSkill>bedienen Sie unsere Gäste schnell</SoftSkill> und nach STARBUCKS® Standards.",MDC,"['offenen Art', 'positiven Art', 'bedienen Sie unsere Gäste schnell']",1,"Mit Ihrer SoftSkill>offenen Art/SoftSkill> und SoftSkill>positiven Art/SoftSkill> bedienen Sie unsere Gäste freundlich, SoftSkill>schnell/SoftSkill> und nach STARBUCKS® Standards.","['offenen Art', 'positiven Art', 'schnell']"
6,70,"Du zeichnest dich durch <SoftSkill_C>gute</SoftSkill_C> und <SoftSkill>schnelle Kommunikationsfähigkeit</SoftSkill>, <SoftSkill>hohe Leistungsbereitschaft</SoftSkill>, <SoftSkill>Kundenorientierung</SoftSkill> sowie eine <SoftSkill_C>teamorientierte</SoftSkill_C> und <SoftSkill>sehr selbständige Arbeitsweise</SoftSkill> aus.","Du zeichnest dich durch <SoftSkill>gute Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>schnelle Kommunikationsfähigkeit</SoftSkill>, <SoftSkill>hohe Leistungsbereitschaft</SoftSkill>, <SoftSkill>Kundenorientierung</SoftSkill> sowie eine <SoftSkill>teamorientierte Arbeitsweise</SoftSkill> und <SoftSkill>sehr selbständige Arbeitsweise</SoftSkill> aus.",MDC,"['gute Kommunikationsfähigkeit', 'schnelle Kommunikationsfähigkeit', 'hohe Leistungsbereitschaft', 'Kundenorientierung', 'teamorientierte Arbeitsweise', 'sehr selbständige Arbeitsweise']",1,"Du zeichnest dich durch SoftSkill>gute Kommunikationsfähigkeit/SoftSkill> und SoftSkill>schnelle Kommunikationsfähigkeit/SoftSkill>, SoftSkill>hohe Leistungsbereitschaft/SoftSkill>, SoftSkill>Kundenorientierung/SoftSkill> sowie eine SoftSkill>teamorientierte Arbeitsweise/SoftSkill> und SoftSkill>sehr selbständige Arbeitsweise/SoftSkill> aus.","['gute Kommunikationsfähigkeit', 'schnelle Kommunikationsfähigkeit', 'hohe Leistungsbereitschaft', 'Kundenorientierung', 'teamorientierte Arbeitsweise', 'sehr selbständige Arbeitsweise']"
7,1420," Wir suchen eine <SoftSkill_C>dynamische</SoftSkill_C> und <SoftSkill>initiative Führungspersönlichkeit</SoftSkill>, welche in einem agilen Umfeld mit flachen Hierarchiestrukturen spannende Projekte umsetzt."," Wir suchen eine <SoftSkill>dynamische Führungspersönlichkeit</SoftSkill> und <SoftSkill>initiative Führungspersönlichkeit</SoftSkill>, welche in einem agilen Umfeld mit flachen Hierarchiestrukturen spannende Projekte umsetzt.",OWA,"['dynamische Führungspersönlichkeit', 'initiative Führungspersönlichkeit']",1,"Wir suchen eine SoftSkill>dynamische Führungspersönlichkeit/SoftSkill> und SoftSkill>initiative Führungspersönlichkeit/SoftSkill>, welche in einem agilen Umfeld mit flachen Hierarchiestrukturen spannende Projekte umsetzt.","['dynamische Führungspersönlichkeit', 'initiative Führungspersönlichkeit']"
8,56,"Ihr Profil:
<SoftSkill>Durchsetzungsvermögen</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C> ist Voraussetzung.","Ihr Profil: <SoftSkill>Durchsetzungsvermögen</SoftSkill> sowie <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>unternehmerisches Handeln</SoftSkill> ist Voraussetzung.""",OWA,"['Durchsetzungsvermögen', 'unternehmerisches Denken', 'unternehmerisches Handeln']",1,Ihr Profil: SoftSkill>Durchsetzungsvermögen/SoftSkill> sowie SoftSkill>unternehmerisches Denken/SoftSkill> und SoftSkill>unternehmerisches Handeln/SoftSkill> ist Voraussetzung.,"['Durchsetzungsvermögen', 'unternehmerisches Denken', 'unternehmerisches Handeln']"
9,1117,•  <SoftSkill>Flair für das Beraten</SoftSkill> und <SoftSkill_C>Verkaufen</SoftSkill_C>,<SoftSkill>Flair für das Beraten</SoftSkill> und <SoftSkill>Flair für das Verkaufen</SoftSkill>.,MWA,"['Flair für das Beraten', 'Flair für das Verkaufen']",1,SoftSkill>Flair für das Beraten/SoftSkill> und SoftSkill>Flair für das Verkaufen/SoftSkill>.,"['Flair für das Beraten', 'Flair für das Verkaufen']"
10,1531,Sie sind mindestens 18 Jahre alt und besitzen eine <SoftSkill_C>gute Beobachtungs-</SoftSkill_C> und <SoftSkill>Auffassungsgabe</SoftSkill>.,Sie sind mindestens 18 Jahre alt und besitzen eine <SoftSkill>gute Beobachtungsgabe</SoftSkill> und <SoftSkill>gute Auffassungsgabe</SoftSkill>.,HOWA,"['gute Beobachtungsgabe', 'gute Auffassungsgabe']",1,Sie sind mindestens 18 Jahre alt und besitzen eine SoftSkill>gute Beobachtungsgabe/SoftSkill> und SoftSkill>gute Auffassungsgabe/SoftSkill>.,"['gute Beobachtungsgabe', 'gute Auffassungsgabe']"
11,1402," Weiter sind auch Mitarbeiter, welche eine <SoftSkill>empathische Beziehung zu den ihnen anvertrauten Patienten pflegen</SoftSkill>, sowie <SoftSkill_C>gerne kooperativ</SoftSkill_C> und <SoftSkill>zielorientiert im interdisziplinären Team zusammenarbeiten</SoftSkill> wünschenswert."," Weiter sind auch Mitarbeiter, welche eine <SoftSkill>empathische Beziehung zu den ihnen anvertrauten Patienten pflegen</SoftSkill>, sowie <SoftSkill>gerne kooperativ im interdisziplinären Team zusammenarbeiten</SoftSkill> und <SoftSkill>zielorientiert im interdisziplinären Team zusammenarbeiten</SoftSkill> wünschenswert.",MWA,"['empathische Beziehung zu den ihnen anvertrauten Patienten pflegen', 'gerne kooperativ im interdisziplinären Team zusammenarbeiten', 'zielorientiert im interdisziplinären Team zusammenarbeiten']",1,"Weiter sind auch Mitarbeiter, welche eine SoftSkill>empathische Beziehung zu den ihnen anvertrauten Patienten pflegen/SoftSkill>, sowie SoftSkill>gerne kooperativ im interdisziplinären Team zusammenarbeiten/SoftSkill> und SoftSkill>zielorientiert im interdisziplinären Team zusammenarbeiten/SoftSkill> wünschenswert.","['empathische Beziehung zu den ihnen anvertrauten Patienten pflegen', 'gerne kooperativ im interdisziplinären Team zusammenarbeiten', 'zielorientiert im interdisziplinären Team zusammenarbeiten']"
12,1068,•  Sie <SoftSkill_C>sprechen</SoftSkill_C> und <SoftSkill>schreiben Deutsch stilsicher</SoftSkill> und verfügen auch über gute Englischkenntnisse.,• Sie <SoftSkill>sprechen Deutsch stilsicher</SoftSkill> und <SoftSkill>schreiben Deutsch stilsicher</SoftSkill> und verfügen auch über gute Englischkenntnisse.,MWA,"['sprechen Deutsch stilsicher', 'schreiben Deutsch stilsicher']",1,• Sie SoftSkill>sprechen Deutsch stilsicher/SoftSkill> und SoftSkill>schreiben Deutsch stilsicher/SoftSkill> und verfügen auch über gute Englischkenntnisse.,"['sprechen Deutsch stilsicher', 'schreiben Deutsch stilsicher']"
13,1232,eine <SoftSkill_C>gewissenhafte</SoftSkill_C> und <SoftSkill>sehr sorgfältige Arbeitsweise</SoftSkill,eine <SoftSkill>gewissenhafte Arbeitsweise</SoftSkill> und <SoftSkill>sehr sorgfältige Arbeitsweise</SoftSkill>,OWA,"['gewissenhafte Arbeitsweise', 'sehr sorgfältige Arbeitsweise']",1,eine SoftSkill>gewissenhafte Arbeitsweise/SoftSkill> und SoftSkill>sehr sorgfältige Arbeitsweise/SoftSkill>,"['gewissenhafte Arbeitsweise', 'sehr sorgfältige Arbeitsweise']"
14,1928," Technische Grundausbildung im Heizungs-, Sanitär- oder Haustechnikbereich oder Ingenieurstudium
<SoftSkill>Vielseitiges Interesse an versorgungstechnischen und energiewirtschaftlichen Themen</SoftSkill>
<SoftSkill>Kundenorientiertes Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>
<SoftSkill_C>Ausgeprägte Team-</SoftSkill_C>, <SoftSkill_C>Kommunikations-</SoftSkill_C> und <SoftSkill>Organisationsfähigkeit</SoftSkill"," Technische Grundausbildung im Heizungs-, Sanitär- oder Haustechnikbereich oder Ingenieurstudium
<SoftSkill>Vielseitiges Interesse an versorgungstechnischen und energiewirtschaftlichen Themen</SoftSkill>
<SoftSkill>Kundenorientiertes Denken</SoftSkill> und <SoftSkill>kundenorientiertes Handeln</SoftSkill>
<SoftSkill>Ausgeprägte Teamfähigkeit</SoftSkill>, <SoftSkill>Kommunikationsfähigkeit</SoftSkill> und <SoftSkill>Organisationsfähigkeit</SoftSkill>",HMDC,"['Vielseitiges Interesse an versorgungstechnischen und energiewirtschaftlichen Themen', 'Kundenorientiertes Denken', 'kundenorientiertes Handeln', 'Ausgeprägte Teamfähigkeit', 'Kommunikationsfähigkeit', 'Organisationsfähigkeit']",1,"Technische Grundausbildung im Heizungs-, Sanitär- oder Haustechnikbereich oder Ingenieurstudium SoftSkill>Vielseitiges Interesse an versorgungstechnischen und energiewirtschaftlichen Themen/SoftSkill> SoftSkill>Kundenorientiertes Denken/SoftSkill> und SoftSkill>Kundenorientiertes Handeln/SoftSkill> SoftSkill>Ausgeprägte Teamfähigkeit/SoftSkill>, SoftSkill>Kommunikationsfähigkeit/SoftSkill> und SoftSkill>Organisationsfähigkeit/SoftSkill>","['Vielseitiges Interesse an versorgungstechnischen und energiewirtschaftlichen Themen', 'Kundenorientiertes Denken', 'Kundenorientiertes Handeln', 'Ausgeprägte Teamfähigkeit', 'Kommunikationsfähigkeit', 'Organisationsfähigkeit']"
15,1488," <SoftSkill>Interesse an Maschinenarbeit</SoftSkill> und an <SoftSkill_C>Metallverarbeitung</SoftSkill_C>
<SoftSkill>technisches Verständnis</SoftSkill> und <SoftSkill>zeichnerische Begabung</SoftSkill>
<SoftSkill>Freude an Physik</SoftSkill> und <SoftSkill_C>Mathematik</SoftSkill_C>
Sekundarschule oder Realschule"," <SoftSkill>Interesse an Maschinenarbeit</SoftSkill> und <SoftSkill>Interesse an Metallverarbeitung</SoftSkill>
<SoftSkill>technisches Verständnis</SoftSkill> und <SoftSkill>zeichnerische Begabung</SoftSkill>
<SoftSkill>Freude an Physik</SoftSkill> und <SoftSkill>Freude an Mathematik</SoftSkill>
Sekundarschule oder Realschule",MDC,"['Interesse an Maschinenarbeit', 'Interesse an Metallverarbeitung', 'technisches Verständnis', 'zeichnerische Begabung', 'Freude an Physik', 'Freude an Mathematik']",1,SoftSkill>Interesse an Maschinenarbeit/SoftSkill> und SoftSkill>Interesse an Metallverarbeitung/SoftSkill> SoftSkill>technisches Verständnis/SoftSkill> und SoftSkill>zeichnerische Begabung/SoftSkill> SoftSkill>Freude an Physik/SoftSkill> und SoftSkill>Freude an Mathematik/SoftSkill> Sekundarschule oder Realschule,"['Interesse an Maschinenarbeit', 'Interesse an Metallverarbeitung', 'technisches Verständnis', 'zeichnerische Begabung', 'Freude an Physik', 'Freude an Mathematik']"
16,453," Sie <SoftSkill>erkennen die Kundenbedürfnisse</SoftSkill>, bieten eine <SoftSkill_C>kompetente</SoftSkill_C> und <SoftSkill>professionelle Beratung an</SoftSkill>."," Sie <SoftSkill>erkennen die Kundenbedürfnisse</SoftSkill>, bieten eine <SoftSkill>kompetente Beratung</SoftSkill> und <SoftSkill>professionelle Beratung an</SoftSkill>.",OWA,"['erkennen die Kundenbedürfnisse', 'kompetente Beratung', 'professionelle Beratung an']",1,"Sie SoftSkill>erkennen die Kundenbedürfnisse/SoftSkill>, bieten eine SoftSkill>kompetente Beratung an/SoftSkill> und SoftSkill>professionelle Beratung an/SoftSkill>.","['erkennen die Kundenbedürfnisse', 'kompetente Beratung an', 'professionelle Beratung an']"
