input,expected_text,generated_text,input_skills_C,expected_skills_C,generated_skills_C,num_skills_C,num_gen_skills_C,percent_skills_match_C,num_skills_match_C,rouge_scores_skill_C,bleu_scores_skill_C,rouge1_avg_skill_C,rouge2_avg_skill_C,rougeL_avg_skill_C,bleu_avg_skill_C,levenshtein_skill_C,mismatched_ALL,Problem type
"Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill_C>Analyse-</SoftSkill_C> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service","Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill>Analysefähigkeit bei Qualitätskontrollen</SoftSkill> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service","Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill>Analysefähigkeit bei Qualitätskontrollen</SoftSkill> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service",['Analyse-'],['Analysefähigkeit bei Qualitätskontrollen'],['Analysefähigkeit bei Qualitätskontrollen'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,HOWA
"Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill_C>hoher Lern-</SoftSkill_C> und <SoftSkill>Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.",['hoher Lern-'],['hoher Lernbereitschaft'],['hoher Lernbereitschaft'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,HOWA
"•  <SoftSkill_C>freundliches</SoftSkill_C>, <SoftSkill_C>sauberes</SoftSkill_C> und <SoftSkill>motiviertes Auftreten</SoftSkill>","<SoftSkill>Freundliches Auftreten</SoftSkill>, <SoftSkill>sauberes Auftreten</SoftSkill> und <SoftSkill>motiviertes Auftreten</SoftSkill>","<SoftSkill>Freundliches Auftreten</SoftSkill>, <SoftSkill>sauberes Auftreten</SoftSkill> und <SoftSkill>motiviertes Auftreten</SoftSkill>","['freundliches', 'sauberes']","['Freundliches Auftreten', 'sauberes Auftreten']","['Freundliches Auftreten', 'sauberes Auftreten']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MC
"Durch Ihre <SoftSkill_C>methodische</SoftSkill_C>, <SoftSkill_C>strukturierte</SoftSkill_C>, <SoftSkill_C>exakte</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","Durch Ihre <SoftSkill>methodische Arbeitsweise</SoftSkill>, <SoftSkill>strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","Durch Ihre <SoftSkill>methodische Arbeitsweise</SoftSkill>, <SoftSkill>strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","['methodische', 'strukturierte', 'exakte']","['methodische Arbeitsweise', 'strukturierte Arbeitsweise', 'exakte Arbeitsweise']","['methodische Arbeitsweise', 'strukturierte Arbeitsweise', 'exakte Arbeitsweise']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MC
"Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill>motivierte Persönlichkeit</SoftSkill> als
Bäcke
r","Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>und <SoftSkill>motivierte Persönlichkeit</SoftSkill> als Bäcker.","Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill>selbständige und motivierte Persönlichkeit</SoftSkill> als Bäcker.",['selbständige'],['selbständige Persönlichkeit'],[],1,0,0.0,0.0,[],[],-1.0,-1.0,-1.0,-1.0,0,True,OWA
<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill_C>Vorausplanen</SoftSkill_C> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>.,<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill>Vorausplanen</SoftSkill> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>,<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill_C>Vorausplanen</SoftSkill_C> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>,['Vorausplanen'],['Vorausplanen'],['Vorausplanen'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.0,0.999999995,1.0,0,False,NONE
"Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill_C>hoher Lern-</SoftSkill_C> und <SoftSkill>Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.",['hoher Lern-'],['hoher Lernbereitschaft'],['hoher Lernbereitschaft'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,HOWA
"<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill>
Mit der <SoftSkill_C>Fähigkeit</SoftSkill_C> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill_C>etwas zu bewegen</SoftSkill_C>!","<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill> Mit der <SoftSkill>Fähigkeit im Team zu arbeiten</SoftSkill> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill>etwas zu bewegen</SoftSkill>!","<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill> Mit der <SoftSkill>Fähigkeit im Team zu arbeiten</SoftSkill> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill>etwas zu bewegen</SoftSkill>!","['Fähigkeit', 'etwas zu bewegen']","['Fähigkeit im Team zu arbeiten', 'etwas zu bewegen']","['Fähigkeit im Team zu arbeiten', 'etwas zu bewegen']",2,2,100.0,2.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MWA
"Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill_C>Handeln</SoftSkill_C>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.","Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill>unternehmerisches Handeln</SoftSkill>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.","Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill>unternehmerisches Handeln</SoftSkill>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.",['Handeln'],['unternehmerisches Handeln'],['unternehmerisches Handeln'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,OWA
"Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill_C>gutes Durchsetzungs-</SoftSkill_C> und <SoftSkill>Delegationsvermögen</SoftSkill>.","Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill>gutes Durchsetzungsvermögen</SoftSkill> und <SoftSkill>gutes Delegationsvermögen</SoftSkill>.","Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill>gutes Durchsetzungsvermögen</SoftSkill> und <SoftSkill>gutes Delegationsvermögen</SoftSkill>.",['gutes Durchsetzungs-'],['gutes Durchsetzungsvermögen'],['gutes Durchsetzungsvermögen'],1,1,100.0,1.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]",[1.0],0.999999995,0.999999995,0.999999995,1.0,0,False,HOWA
