input,output,valids
"<SoftSkill_C>zuverlässige </SoftSkill_C> , <SoftSkill>exakte Arbeitsweise </SoftSkill>","<SoftSkill>zuverlässige Arbeitsweise</SoftSkill> , <SoftSkill>exakte Arbeitsweise </SoftSkill>",1
<SoftSkill>Unternehmerisches Denken </SoftSkill> und <SoftSkillC>Handeln </SoftSkill_C>,<SoftSkill>Unternehmerisches Denken </SoftSkill> und <SoftSkill>unternehmerisches Handeln </SoftSkill>,1
Sie haben <SoftSkill_C>Freude </SoftSkill_C> und <SoftSkill>Interesse an Menschen </SoftSkill>,Sie haben <SoftSkill>Freude an Menschen</SoftSkill> und <SoftSkill>Interesse an Menschen</SoftSkill>.,1
<SoftSkill_C> direkter</SoftSkill_C> und <SoftSkill>adäquater Kommunikationsstil</SoftSkill>,<SoftSkill>direkter Kommunikationsstil</SoftSkill> und <SoftSkill>adäquater Kommunikationsstil</SoftSkill>,1
<SoftSkill_C>dynamische</SoftSkill_C> und <SoftSkill>an selbständiges Arbeiten gewöhnte Persönlichkeit</SoftSkill>,"<SoftSkill>dynamische Persönlichkeit</SoftSkill> und <SoftSkill>an selbständiges Arbeiten gewöhnte Persönlichkeit</SoftSkill>""",1
3. <SoftSkill>gewohnt an ein schöpferisches und konstruktives Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>,<SoftSkill>gewohnt an ein schöpferisches und konstruktives Denken</SoftSkill> und <SoftSkill>gewohnt an ein schöpferisches und konstruktives Handeln</SoftSkill>,1
der <SoftSkill>Freude an interessanten statistischen Arbeiten</SoftSkill> und an der <SoftSkill_C>Ausarbeitung von Analysen hat</SoftSkill_C>,der <SoftSkill>Freude an interessanten statistischen Arbeiten</SoftSkill> und an der <SoftSkill>Freude an Ausarbeitung von Analysen hat</SoftSkill>,0
Per sofort oder nach Vereinbarung suchen wir eine <SoftSkill_C>fachkompetente</SoftSkill_C> oder <SoftSkill>erfolgsorientierte Persönlichkeit</SoftSkill> als,Per sofort oder nach Vereinbarung suchen wir eine <SoftSkill>fachkompetente Persönlichkeit</SoftSkill> oder <SoftSkill>erfolgsorientierte Persönlichkeit</SoftSkill> als,1
"Eine <SoftSkill_C>belastbare</SoftSkill_C>, <SoftSkill_C>lösungsorientierte</SoftSkill_C> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill>","Eine <SoftSkill>belastbare Persönlichkeit</SoftSkill>, <SoftSkill>lösungsorientierte Persönlichkeit</SoftSkill> und <SoftSkill>teamfähige Persönlichkeit</SoftSkill>.",1
"Haben Sie eine <SoftSkill>gute Allgemeinbildung</SoftSkill>, eine <SoftSkill_C>starke</SoftSkill_C>, <SoftSkill>selbstbewusste Stimme</SoftSkill> und <SoftSkill>verkaufen sie mit Leidenschaft</SoftSkill>? Sind Sie dazu noch <SoftSkill>abschlussstark</SoftSkill> und <SoftSkill>ehrgeizig</SoftSkill>? Dann kommen Sie zu uns , wir suchen 2 bis 3 <SoftSkill>aufgestellte Teamplayer</SoftSkill> für unsere Filiale in Pfäffikon (SZ)  per sofort (100% eventuell 80%) im Telefonmarketing.","Haben Sie eine <SoftSkill>gute Allgemeinbildung</SoftSkill>, eine <SoftSkill>starke Stimme</SoftSkill>, <SoftSkill>selbstbewusste Stimme</SoftSkill> und <SoftSkill>verkaufen sie mit Leidenschaft</SoftSkill>? Sind Sie dazu noch <SoftSkill>abschlussstark</SoftSkill> und <SoftSkill>ehrgeizig</SoftSkill>? Dann kommen Sie zu uns , wir suchen 2 bis 3 <SoftSkill>aufgestellte Teamplayer</SoftSkill> für unsere Filiale in Pfäffikon (SZ)  per sofort (100% eventuell 80%) im Telefonmarketing.",1
