input,output,valids
Further training and development opportunities,Further training opportunities and Further development opportunities,1
Stamping and forming technology,Stamping technology and forming technology,1
Ski and bicycle helmets,Ski helmets and bicycle helmets,1
Advantages and disadvantages,Advantages and disadvantages,1
Willingness to learn and perform,Willingness to learn and Willingness to perform,1
Diesel and gas engines,Diesel engines and gas engines,1
Child and adult protection,Child protection and adult protection,1
Horticulturists and landscapers,Horticulturists and landscapers,1
Knowledge of French and Italian,Knowledge of French and Knowledge of Italian,1
Knowledge of German and French,Knowledge of German and Knowledge of French,1
Medium and high voltage range,Medium voltage range and high voltage range,1
Workshop and storage work,Workshop work and storage work,1
Reinforcement and assembly plans,Reinforcement plans and assembly plans,1
Further education and training,Further education and Further training,1
Safety and environmental regulations,Safety regulations and environmental regulations,1
Civil and hydraulic engineering,Civil engineering and hydraulic engineering,1
Watch and jewellery detail trade,Watch detail trade and jewellery detail trade,1
Maintenance and control work,Maintenance work and control work,1
Civil Engineering and Surveyor's Office,Civil Engineering Office and Surveyor's Office,1
Medium-sized and large-scale projects,Medium-sized projects and large-scale projects,1
Personnel and management consulting,Personnel consulting and management consulting,1
Quality and hygiene standards,Quality standards and hygiene standards,1
Primary and orientation school,Primary school and orientation school,1
Service awareness and quality consciousness,Service awareness and quality consciousness,1
Business and process analyses,Business analyses and process analyses,1
Training and further education opportunities,Training opportunities and further education opportunities,1
Measuring and operating equipment,Measuring equipment and operating equipment,1
Payment and transaction services,Payment services and transaction services,1
Health and accident insurance,Health insurance and accident insurance,1
Lacquer and paint factory,Lacquer factory and paint factory,1
Finance and accounting,Finance and accounting,1
Surgery and consultation reports,Surgery reports and consultation reports,1
Interest rate and currency risks,Interest rate risks and currency risks,1
Exercise and movement science,Exercise science and movement science,1
Fuels and propellants,Fuels and propellants,1
Dining and beverage services,Dining services and beverage services,1
Management and process consulting,Management consulting and process consulting,1
Mail and parcel centres,Mail centres and parcel centres,1
Primary and secondary school,Primary school and secondary school,1
Residential house and nursing home,Residential house and nursing home,0
Hardware and software,Hardware and software,1
Building construction and civil engineering,Building construction and civil engineering,1
Indoor and field service,Indoor service and field service,1
Maintenance plans and servicing schedules,Maintenance plans and servicing schedules,0
Forwarding and logistics sector,Forwarding sector and logistics sector,1
Physical and multiple disabilities,Physical disabilities and multiple disabilities,1
Transport and logistics services,Transport services and logistics services,1
Education and training,Education and training,0
Pedestrian and bicycle traffic,Pedestrian traffic and bicycle traffic,1
Knowledge of German and English,Knowledge of German and Knowledge of English,1
Application and system errors,Application errors and system errors,1
Filialpersonal und Servicepersonal,Filialpersonal und Servicepersonal,0
Business and leisure travellers,Business travellers and leisure travellers,1
Promotional and assortment activities,Promotional activities and assortment activities,1
Process and plant control,Process control and plant control,1
Professional competence and advisory skills,Professional competence and advisory skills,0
Cable and overhead lines,Cable lines and overhead lines,1
Maintenance and industrial experience,Maintenance experience and industrial experience,1
Basic and further education,Basic education and further education,1
Service and repair work,Service work and repair work,1
Data and administration centre,Data centre and administration centre,1
Domestic and abroad,Domestic and abroad,0
Accident and sickness benefits,Accident benefits and sickness benefits,1
Habitat and economic area,Habitat area and economic area,1
Track and switch systems,Track systems and switch systems,1
Expansion and conversion,Expansion and conversion,0
Research and Development Centre,Research Centre and Development Centre,1
Chemical and pharmaceutical technologists,Chemical technologists and pharmaceutical technologists,1
Patient and emergency situations,Patient situations and emergency situations,1
Operating and monitoring systems,Operating systems and monitoring systems,1
Voice and data communication,Voice communication and data communication,1
Dismantling and maintenance work,Dismantling work and maintenance work,1
Food and luxury foodstuffs,Food foodstuffs and luxury foodstuffs,0
Project control and impact monitoring,Project control and impact monitoring,0
Bathing and Sports Centre,Bathing Centre and Sports Centre,1
Repair and conversion work,Repair work and conversion work,1
Orthopaedic and neurology companies,Orthopaedic companies and neurology companies,1
Procurement and optimisation projects,Procurement projects and optimisation projects,1
Printing plant and newspaper operation,Printing plant and newspaper operation,0
