,input,output,prediction,result,Levenshtein_dist
415,Industrie- und Laborgeräte,Industriegeräte und Laborgeräte,Industriegeräte und Laborgeräte,1,0
416,Aus- und Weiterbildungsausweis,Ausbildungsausweis und Weiterbildungsausweis,Ausweis und Weiterbildungsausweis,0,11
417,Schutz- und Arbeitskleider,Schutzkleider und Arbeitskleider,Schutzkleider und Arbeitskleider,1,0
418,Migros- und Partnerbetrieben,Migrosbetrieben und Partnerbetrieben,Migrosbetrieben und Partnerbetrieben,1,0
419,Transaktions- und Managementberatung,Transaktionsberatung und Managementberatung,Transaktionsberatung und Managementberatung,1,0
420,Steil- und Flachdächern,Steildächern und Flachdächern,Steildächern und Flachdächern,1,0
421,Data- und Frischekontrolle,Datakontrolle und Frischekontrolle,Datakontrolle und Frischekontrolle,1,0
422,Decken- und Bodenkonstruktionen,Deckenkonstruktionen und Bodenkonstruktionen,Deckenkonstruktionen und Bodenkonstruktionen,1,0
423,Transport- und Logistikunternehmen,Transportunternehmen und Logistikunternehmen,Transportunternehmen und Logistikunternehmen,1,0
424,Standard- und Nutzeranwendungen,Standardanwendungen und Nutzeranwendungen,Standardanwendungen und Benutzeranwendungen,0,3
425,Kranken- und Pensionskasse,Krankenkasse und Pensionskasse,Krankenkasse und Pensionskasse,1,0
426,Pflege- und Betreuungsqualität,Pflegequalität und Betreuungsqualität,Pflegequalität und Betreuungsqualität,1,0
427,Neu- und Weiterentwicklung,Neuentwicklung und Weiterentwicklung,Neuentwicklung und Weiterentwicklung,1,0
428,Haus- und Sondermüll,Hausmüll und Sondermüll,Hausmüll und Sondermüll,1,0
429,Bundes- und Bundesverwaltungsgericht,Bundesgericht und Bundesverwaltungsgericht,Bundesverwaltungsgericht und Bundesverwaltungsgericht,0,11
430,Verkehrs- und Energiedirektion,Verkehrsdirektion und Energiedirektion,Verkehrsdirektion und Energiedirektion,1,0
431,Digitalisierung- und Nachhaltigkeitsstrategien,Digitalisierungstrategien und Nachhaltigkeitsstrategien,Digitalisierungstrategien und Nachhaltigkeitsstrategien,1,0
432,Modellierungs- und Visualisierungssystemen,Modellierungssystemen und Visualisierungssystemen,Modellierungssystemen und Visualisierungssystemen,1,0
433,Personen- und Sozialversicherungen,Personenversicherungen und Sozialversicherungen,Personenversicherungen und Sozialversicherungen,1,0
434,Familien- und Kindergottesdiensten,Familiengottesdiensten und Kindergottesdiensten,Familiengottesdiensten und Kindergottesdiensten,1,0
435,Dauer- und Aushilfstellen,Dauerstellen und Aushilfstellen,Dauerhilfstellen und Aushilfstellen,0,4
436,Bedienungs- und Servicemanuals,Bedienungsmanuals und Servicemanuals,Bedienungsmanuals und Servicemanuals,1,0
437,Lohn- und Rechnungswesen,Lohnwesen und Rechnungswesen,Lohnwesen und Rechnungswesen,1,0
