input,expected_text,generated_text,input_skills_all,expected_skills_all,generated_skills_all,num_skills_all,num_gen_skills_all,percent_skills_match_all,num_skills_match_all,rouge_scores_skill_all,bleu_scores_skill_all,rouge1_avg_skill_all,rouge2_avg_skill_all,rougeL_avg_skill_all,bleu_avg_skill_all,levenshtein_skill_all,mismatched_ALL,Problem type
"Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill_C>Analyse-</SoftSkill_C> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service","Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill>Analysefähigkeit bei Qualitätskontrollen</SoftSkill> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service","Technische Kenntnisse
<SoftSkill>Gespür für Kundenzufriedenheit</SoftSkill>
<SoftSkill>Führungsfähigkeiten</SoftSkill>
Organisation der Dienstleistungen
<SoftSkill>Analysefähigkeit bei Qualitätskontrollen</SoftSkill> und <SoftSkill>Beobachtungsfähigkeit bei Qualitätskontrollen</SoftSkill>
Verständnis für Service","['Gespür für Kundenzufriedenheit', 'Führungsfähigkeiten', 'Analyse-', 'Beobachtungsfähigkeit bei Qualitätskontrollen']","['Gespür für Kundenzufriedenheit', 'Führungsfähigkeiten', 'Analysefähigkeit bei Qualitätskontrollen', 'Beobachtungsfähigkeit bei Qualitätskontrollen']","['Gespür für Kundenzufriedenheit', 'Führungsfähigkeiten', 'Analysefähigkeit bei Qualitätskontrollen', 'Beobachtungsfähigkeit bei Qualitätskontrollen']",4,4,100.0,4.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0]",0.999999995,0.74999999625,0.999999995,1.0,0,False,HOWA
"Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill_C>hoher Lern-</SoftSkill_C> und <SoftSkill>Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Du bist ein/e <SoftSkill>motivierte/r Jugendliche/r</SoftSkill> mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legst grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbstständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","['motivierte/r Jugendliche/r', 'hoher Lern-', 'Leistungsbereitschaft', 'Teamfähigkeit', 'Eigenverantwortung', 'Selbstständigkeit', 'Flexibilität']","['motivierte/r Jugendliche/r', 'hoher Lernbereitschaft', 'hoher Leistungsbereitschaft', 'Teamfähigkeit', 'Eigenverantwortung', 'Selbstständigkeit', 'Flexibilität']","['motivierte/r Jugendliche/r', 'hoher Lernbereitschaft', 'hoher Leistungsbereitschaft', 'Teamfähigkeit', 'Eigenverantwortung', 'Selbstständigkeit', 'Flexibilität']",7,7,100.0,7.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999998,0.42857142642857143,0.9999999949999998,1.0,0,False,HOWA
"•  <SoftSkill_C>freundliches</SoftSkill_C>, <SoftSkill_C>sauberes</SoftSkill_C> und <SoftSkill>motiviertes Auftreten</SoftSkill>","<SoftSkill>Freundliches Auftreten</SoftSkill>, <SoftSkill>sauberes Auftreten</SoftSkill> und <SoftSkill>motiviertes Auftreten</SoftSkill>","<SoftSkill>Freundliches Auftreten</SoftSkill>, <SoftSkill>sauberes Auftreten</SoftSkill> und <SoftSkill>motiviertes Auftreten</SoftSkill>","['freundliches', 'sauberes', 'motiviertes Auftreten']","['Freundliches Auftreten', 'sauberes Auftreten', 'motiviertes Auftreten']","['Freundliches Auftreten', 'sauberes Auftreten', 'motiviertes Auftreten']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MC
"Durch Ihre <SoftSkill_C>methodische</SoftSkill_C>, <SoftSkill_C>strukturierte</SoftSkill_C>, <SoftSkill_C>exakte</SoftSkill_C> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","Durch Ihre <SoftSkill>methodische Arbeitsweise</SoftSkill>, <SoftSkill>strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","Durch Ihre <SoftSkill>methodische Arbeitsweise</SoftSkill>, <SoftSkill>strukturierte Arbeitsweise</SoftSkill>, <SoftSkill>exakte Arbeitsweise</SoftSkill> und <SoftSkill>selbständige Arbeitsweise</SoftSkill> können Sie die Bedürfnisse verschiedener Beteiligter aufeinander abstimmen.","['methodische', 'strukturierte', 'exakte', 'selbständige Arbeitsweise']","['methodische Arbeitsweise', 'strukturierte Arbeitsweise', 'exakte Arbeitsweise', 'selbständige Arbeitsweise']","['methodische Arbeitsweise', 'strukturierte Arbeitsweise', 'exakte Arbeitsweise', 'selbständige Arbeitsweise']",4,4,100.0,4.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0]",0.999999995,0.999999995,0.999999995,1.0,0,False,MC
"Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill_C>selbständige</SoftSkill_C>, <SoftSkill>motivierte Persönlichkeit</SoftSkill> als
Bäcke
r","Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill>selbständige Persönlichkeit</SoftSkill>und <SoftSkill>motivierte Persönlichkeit</SoftSkill> als Bäcker.","Für unsere Abteilung Pâtisserie
in der Deliciel in Birmenstorf
suchen wir
per sofort
oder nach
Vereinbarung eine <SoftSkill>selbständige und motivierte Persönlichkeit</SoftSkill> als Bäcker.","['selbständige', 'motivierte Persönlichkeit']","['selbständige Persönlichkeit', 'motivierte Persönlichkeit']",['selbständige und motivierte Persönlichkeit'],2,1,0.0,0.0,"[[{'rouge-1': {'r': 0.5, 'p': 1.0, 'f': 0.6666666622222223}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.5, 'p': 1.0, 'f': 0.6666666622222223}}]]",[],0.6666666622222223,0.0,0.6666666622222223,-1.0,0,True,OWA
<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill_C>Vorausplanen</SoftSkill_C> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>.,<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill>Vorausplanen</SoftSkill> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>,<SoftSkill>In Zusammenhängen denken</SoftSkill> und <SoftSkill_C>Vorausplanen</SoftSkill_C> sind für die Wahrnehmung der Aufgaben ebenso wichtig wie ein <SoftSkill>aufgeweckter Charakter</SoftSkill>,"['In Zusammenhängen denken', 'Vorausplanen', 'aufgeweckter Charakter']","['In Zusammenhängen denken', 'Vorausplanen', 'aufgeweckter Charakter']","['In Zusammenhängen denken', 'Vorausplanen', 'aufgeweckter Charakter']",3,3,100.0,3.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0]",0.999999995,0.6666666633333334,0.999999995,1.0,0,False,NONE
"Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill_C>hoher Lern-</SoftSkill_C> und <SoftSkill>Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","Anforderungsprofil
Wir suchen für alle unsere Ausbildungsberufe <SoftSkill>motivierte</SoftSkill> Jugendliche mit <SoftSkill>hoher Lernbereitschaft</SoftSkill> und <SoftSkill>hoher Leistungsbereitschaft</SoftSkill> und legen grossen Wert auf <SoftSkill>Teamfähigkeit</SoftSkill>, <SoftSkill>Eigenverantwortung</SoftSkill>, <SoftSkill>Selbständigkeit</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill>.","['motivierte', 'hoher Lern-', 'Leistungsbereitschaft', 'Teamfähigkeit', 'Eigenverantwortung', 'Selbständigkeit', 'Flexibilität']","['motivierte', 'hoher Lernbereitschaft', 'hoher Leistungsbereitschaft', 'Teamfähigkeit', 'Eigenverantwortung', 'Selbständigkeit', 'Flexibilität']","['motivierte', 'hoher Lernbereitschaft', 'hoher Leistungsbereitschaft', 'Teamfähigkeit', 'Eigenverantwortung', 'Selbständigkeit', 'Flexibilität']",7,7,100.0,7.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999998,0.28571428428571427,0.9999999949999998,1.0,0,False,HOWA
"<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill>
Mit der <SoftSkill_C>Fähigkeit</SoftSkill_C> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill_C>etwas zu bewegen</SoftSkill_C>!","<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill> Mit der <SoftSkill>Fähigkeit im Team zu arbeiten</SoftSkill> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill>etwas zu bewegen</SoftSkill>!","<SoftSkill>Organisationstalent</SoftSkill>, <SoftSkill>Verantwortungsbewusst</SoftSkill> Mit der <SoftSkill>Fähigkeit im Team zu arbeiten</SoftSkill> und <SoftSkill>Freude im Team zu arbeiten</SoftSkill> und <SoftSkill>etwas zu bewegen</SoftSkill>!","['Organisationstalent', 'Verantwortungsbewusst', 'Fähigkeit', 'Freude im Team zu arbeiten', 'etwas zu bewegen']","['Organisationstalent', 'Verantwortungsbewusst', 'Fähigkeit im Team zu arbeiten', 'Freude im Team zu arbeiten', 'etwas zu bewegen']","['Organisationstalent', 'Verantwortungsbewusst', 'Fähigkeit im Team zu arbeiten', 'Freude im Team zu arbeiten', 'etwas zu bewegen']",5,5,100.0,5.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999999,0.5999999970000001,0.9999999949999999,1.0,0,False,MWA
"Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill_C>Handeln</SoftSkill_C>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.","Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill>unternehmerisches Handeln</SoftSkill>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.","Sie verfügen über <SoftSkill>unternehmerisches Denken</SoftSkill> sowie <SoftSkill>unternehmerisches Handeln</SoftSkill>, sind <SoftSkill>serviceorientiert</SoftSkill> und haben <SoftSkill>ausgezeichnete Kommunikationsfähigkeiten</SoftSkill>.","['unternehmerisches Denken', 'Handeln', 'serviceorientiert', 'ausgezeichnete Kommunikationsfähigkeiten']","['unternehmerisches Denken', 'unternehmerisches Handeln', 'serviceorientiert', 'ausgezeichnete Kommunikationsfähigkeiten']","['unternehmerisches Denken', 'unternehmerisches Handeln', 'serviceorientiert', 'ausgezeichnete Kommunikationsfähigkeiten']",4,4,100.0,4.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0]",0.999999995,0.74999999625,0.999999995,1.0,0,False,OWA
"Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill_C>gutes Durchsetzungs-</SoftSkill_C> und <SoftSkill>Delegationsvermögen</SoftSkill>.","Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill>gutes Durchsetzungsvermögen</SoftSkill> und <SoftSkill>gutes Delegationsvermögen</SoftSkill>.","Sie sind <SoftSkill>engagiert</SoftSkill>, <SoftSkill>verantwortungsbewusst</SoftSkill> und haben ein <SoftSkill>hohes Mass an Sozialkompetenz</SoftSkill> sowie ein <SoftSkill>gutes Durchsetzungsvermögen</SoftSkill> und <SoftSkill>gutes Delegationsvermögen</SoftSkill>.","['engagiert', 'verantwortungsbewusst', 'hohes Mass an Sozialkompetenz', 'gutes Durchsetzungs-', 'Delegationsvermögen']","['engagiert', 'verantwortungsbewusst', 'hohes Mass an Sozialkompetenz', 'gutes Durchsetzungsvermögen', 'gutes Delegationsvermögen']","['engagiert', 'verantwortungsbewusst', 'hohes Mass an Sozialkompetenz', 'gutes Durchsetzungsvermögen', 'gutes Delegationsvermögen']",5,5,100.0,5.0,"[[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}], [{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999949999999,0.5999999970000001,0.9999999949999999,1.0,0,False,HOWA
